Name,Long,Lat,Category,Province
Mediclinic Wits D Gordon Med Centre,28.034502,-26.1796,Private Hospital,Gauteng
Netcare Milpark Hosp,28.01725,-26.1797,Private Hospital,Gauteng
Netcare Rehab Hosp,28.01224,-26.1885,Private Hospital,Gauteng
Netcare Rosebank Hosp,28.03924,-26.1462,Private Hospital,Gauteng
Netcare Sports Med and Ortho Hosp,28.03962,-26.1461,Private Hospital,Gauteng
NHN Akeso Crescent Randburg Hosp,27.958773,-26.0881,Private Hospital,Gauteng
NHN Johannesburg Eye Hosp,27.977595,-26.1395,Private Hospital,Gauteng
NHN Northcliff Medw Hosp,27.977811,-26.1398,Private Hospital,Gauteng
Parkmore Park Med Centre,28.046116,-26.0993,Private Hospital,Gauteng
Rosebank Med Dental Centre,28.03845,-26.1467,Private Hospital,Gauteng
Clinix Dr SK Matseke Mem Hosp,27.87435,-26.2055,Private Hospital,Gauteng
Clinix Tshepo-Themba Prv Hosp,27.873921,-26.2059,Private Hospital,Gauteng
Life Flora Hosp,27.920641,-26.1516,Private Hospital,Gauteng
Lifemed Hosp,27.93667,-26.2011,Private Hospital,Gauteng
Life Wilgeheuwel Hosp,27.92435,-26.0995,Private Hospital,Gauteng
Mayo Hosp,27.92086,-26.1504,Private Hospital,Gauteng
Medicare Boskruin Med Centre,27.958324,-26.0866,Private Hospital,Gauteng
Netcare Constantia Day Clinic,27.900218,-26.1476,Private Hospital,Gauteng
Netcare Olivedale Hosp,27.972147,-26.0548,Private Hospital,Gauteng
NHN Icare Wilgeheuwel Med Centre,27.894028,-26.1132,Private Hospital,Gauteng
Advanced Medgate Day Hosp,27.867123,-26.138,Private Hospital,Gauteng
Lesedi Prv Hosp,27.935847,-26.2581,Private Hospital,Gauteng
Life Poortview Hosp,27.851671,-26.0897,Private Hospital,Gauteng
Meredale Med Centre,27.96094,-26.2762,Private Hospital,Gauteng
Busamed Modderfontein Prv Hosp,28.130116,-26.0755,Private Hospital,Gauteng
Life Carstenhof Hosp,28.139385,-26.0309,Private Hospital,Gauteng
Lonehill Med Centre,28.034859,-26.0171,Private Hospital,Gauteng
Mediclinic Morningside Hosp,28.05595,-26.0956,Private Hospital,Gauteng
Midrand Med Centre,28.129635,-25.9958,Private Hospital,Gauteng
Netcare Linksfield Hosp,28.0954,-26.1594,Private Hospital,Gauteng
Netcare Linkwood Hosp,28.09689,-26.1595,Private Hospital,Gauteng
NHN Gynae Endo Med Centre,28.05654,-26.0971,Private Hospital,Gauteng
NHN Icare Northriding Med Centre,27.957387,-26.0397,Private Hospital,Gauteng
NHN Icare Sandton Day Hosp,28.06304,-26.0797,Private Hospital,Gauteng
Prime Cure Bagleyston Day Clinic,28.0866,-26.1513,Private Hospital,Gauteng
Argyle Hosp,28.0434,-26.1929,Private Hospital,Gauteng
Clinix SS Morewa Mem Hosp,28.04278,-26.2208,Private Hospital,Gauteng
Fordsburg Hosp,28.02157,-26.2099,Private Hospital,Gauteng
Life Brenthurst Hosp,28.0466,-26.1842,Private Hospital,Gauteng
Netcare Garden City Hosp,28.006889,-26.1973,Private Hospital,Gauteng
Netcare Mulbarton Hosp,28.05302,-26.298,Private Hospital,Gauteng
Netcare Park Lane Hosp,28.04638,-26.1821,Private Hospital,Gauteng
Netcare Rand Hosp,28.04998,-26.1852,Private Hospital,Gauteng
NHN Akeso Parktown Hosp,28.044005,-26.1824,Private Hospital,Gauteng
Kliptown Med Centre,27.890179,-26.2793,Private Hospital,Gauteng
NHN Lenmed Ahmed Katrada Prv Hosp,27.86371,-26.3278,Private Hospital,Gauteng
NHN Lenmed Daxina Hosp,27.841045,-26.3818,Private Hospital,Gauteng
Botshilu Hosp,28.127308,-25.485,Private Hospital,Gauteng
Mediclinic Legae Hosp,28.03835,-25.5251,Private Hospital,Gauteng
Netcare Akasia Hosp,28.10867,-25.6742,Private Hospital,Gauteng
Wisani Med Centre Hosp,27.97686,-25.6115,Private Hospital,Gauteng
Netcare Montana Hosp,28.24418,-25.6752,Private Hospital,Gauteng
NHN Icare Wonderboom Med Centre,28.1905,-25.6837,Private Hospital,Gauteng
Astrid Hosp,28.209688,-25.7475,Private Hospital,Gauteng
Curamed Hosp,28.203429,-25.7551,Private Hospital,Gauteng
Life Brooklyn Day Hosp,28.235836,-25.7698,Private Hospital,Gauteng
Life Eugene Marais Hosp,28.193922,-25.71,Private Hospital,Gauteng
Life Groenkloof Hosp,28.2164,-25.7715,Private Hospital,Gauteng
Louis Pasteur Hosp,28.19666,-25.7485,Private Hospital,Gauteng
Pretoria Gynae Hosp,28.20565,-25.7562,Private Hospital,Gauteng
Mediclinic Heart Hosp,28.20677,-25.7491,Private Hospital,Gauteng
Mediclinic Medforum Hosp,28.199664,-25.7468,Private Hospital,Gauteng
Mediclinic Muelmed Hosp,28.20768,-25.7469,Private Hospital,Gauteng
Netcare Bougainville Hosp,28.1535,-25.7152,Private Hospital,Gauteng
Netcare Femina Hosp,28.20037,-25.7401,Private Hospital,Gauteng
Netcare Jakaranda Hosp,28.21182,-25.7595,Private Hospital,Gauteng
Netcare Moot Hosp,28.21779,-25.7137,Private Hospital,Gauteng
NHN Urolocare Hosp,28.237729,-25.7442,Private Hospital,Gauteng
Peermed Pretoria Health Centre,28.191279,-25.745,Private Hospital,Gauteng
Pretoria Eye Inst Hosp,28.21113,-25.7474,Private Hospital,Gauteng
Pretoria Urolog Hosp,28.23775,-25.744,Private Hospital,Gauteng
University of Pta Med Centre,28.200165,-25.7303,Private Hospital,Gauteng
Zuid Afrikaans Hosp,28.20571,-25.762,Private Hospital,Gauteng
Erasmia Med Centre,28.09319,-25.8114,Private Hospital,Gauteng
HEALth-WorX Centurion Med Centre,28.187175,-25.8566,Private Hospital,Gauteng
HEALth-WorX Raslouw Med Centre,28.136995,-25.8693,Private Hospital,Gauteng
Medipark 24 Med Centre,28.142686,-25.8944,Private Hospital,Gauteng
Netcare Unitas Hosp,28.1959,-25.8323,Private Hospital,Gauteng
NHN Centurion Eye Hosp,28.194997,-25.831,Private Hospital,Gauteng
NHN Icare Irene Day Hosp,28.205361,-25.8851,Private Hospital,Gauteng
NHN Icare Irene Med Centre,28.205361,-25.8851,Private Hospital,Gauteng
NHN Icare Irene Sub-Acute Hosp,28.205361,-25.8851,Private Hospital,Gauteng
NHN Icare Mall@55 Med Dental Centre,28.105073,-25.8853,Private Hospital,Gauteng
NHN Vista Hosp,28.19321,-25.8439,Private Hospital,Gauteng
Clinix Cullinan Prv Hosp,28.515781,-25.6659,Private Hospital,Gauteng
Denmar Hosp,28.29974,-25.8025,Private Hospital,Gauteng
HEALth-WorX Montana Med Centre,28.241145,-25.6775,Private Hospital,Gauteng
Kloof Hosp,28.262855,-25.8111,Private Hospital,Gauteng
Life Faerie Glen Hosp,28.291695,-25.7835,Private Hospital,Gauteng
Life Wilgers Hosp,28.318918,-25.7678,Private Hospital,Gauteng
Mamelodi Med Centre,28.375033,-25.7141,Private Hospital,Gauteng
Mediclinic Kloof Hosp,28.2631,-25.8129,Private Hospital,Gauteng
Netcare Pretoria E Hosp,28.30496,-25.8209,Private Hospital,Gauteng
NHN Intercare Glenfair Med Centre,28.280361,-25.7655,Private Hospital,Gauteng
NHN Icare Hazeldean Day Hosp,28.360911,-25.7824,Private Hospital,Gauteng
NHN Icare Hazeldean Sub-Acute Hosp,28.360911,-25.7824,Private Hospital,Gauteng
NHN Icare Silver Lake Med Centre,28.353222,-25.7848,Private Hospital,Gauteng
NHN Icare Woodhill Med Centre,28.304361,-25.8193,Private Hospital,Gauteng
Phelang Prv Hosp,28.378808,-25.7139,Private Hospital,Gauteng
SAMCOR Med Centre,28.329661,-25.7372,Private Hospital,Gauteng
Life Dalview Hosp,28.354391,-26.2451,Private Hospital,Gauteng
Optiklin Eye Hosp,28.28709,-26.1785,Private Hospital,Gauteng
Life Springs Parkland Hosp,28.43466,-26.2657,Private Hospital,Gauteng
Life St Mary's Prv Hosp,28.43471,-26.2587,Private Hospital,Gauteng
Netcare N17 Prv Hosp,28.42802,-26.2713,Private Hospital,Gauteng
Harmelia Prv Hosp,28.2021,-26.1365,Private Hospital,Gauteng
Kloof Med Centre,28.13315,-26.1847,Private Hospital,Gauteng
Mediclinic Midstream Hosp,28.190883,-25.9224,Private Hospital,Gauteng
NHN Arwyp Med Centre Hosp,28.22923,-26.1065,Private Hospital,Gauteng
NHN Icare Glen Marais Med Centre,28.249774,-26.0832,Private Hospital,Gauteng
NHN Lenmed Zamokuhle Prv Hosp,28.238093,-25.9829,Private Hospital,Gauteng
Peermed Kempton Park Health Centre,28.231123,-26.106,Private Hospital,Gauteng
Dinwiddie Med Centre,28.330783,-26.1454,Private Hospital,Gauteng
Glenairs Med Centre,28.063542,-26.2878,Private Hospital,Gauteng
HEALth-WorX Boksburg Med Centre,28.248137,-26.1817,Private Hospital,Gauteng
Life Bedford Gardens Hosp,28.12093,-26.1898,Private Hospital,Gauteng
Life Glynnview Hosp,28.307291,-26.1928,Private Hospital,Gauteng
Life The Glynnwood Hosp,28.308109,-26.1954,Private Hospital,Gauteng
Netcare Linmed Hosp,28.330783,-26.1454,Private Hospital,Gauteng
Netcare Optiklin Eye Hosp,28.288496,-26.1784,Private Hospital,Gauteng
Netcare Sunward Park Hosp,28.256035,-26.2605,Private Hospital,Gauteng
NHN Care Cure Rynmed Hosp,28.347066,-26.1405,Private Hospital,Gauteng
NHN Lakeview Hosp,28.312829,-26.1843,Private Hospital,Gauteng
NHN Sunshine Hosp,28.302914,-26.2115,Private Hospital,Gauteng
Palm Springs Med Centre,28.277538,-26.2472,Private Hospital,Gauteng
Sunward Park Med Centre,28.254504,-26.2279,Private Hospital,Gauteng
Clinix Botshelong-Empilweni Prv Hosp,28.216395,-26.3455,Private Hospital,Gauteng
Life Roseacres Hosp,28.169563,-26.1789,Private Hospital,Gauteng
Netcare Clinton Hosp,28.12019,-26.2732,Private Hospital,Gauteng
Netcare Union Hosp,28.119647,-26.2698,Private Hospital,Gauteng
NHN Akeso Alberton Hosp,28.120691,-26.2656,Private Hospital,Gauteng
Peermed Germiston Health Centre,28.163673,-26.2141,Private Hospital,Gauteng
Philani Med Centre,28.21607,-26.3457,Private Hospital,Gauteng
Clinix Naledi-Nkanyezi Prv Hosp,27.842933,-26.5814,Private Hospital,Gauteng
Cormed Hosp,27.832318,-26.7022,Private Hospital,Gauteng
Hlulani Med Centre,27.846783,-26.590498,Private Hospital,Gauteng
Lakeview Med Centre,28.312829,-26.1844,Private Hospital,Gauteng
Mediclinic Emfuleni Hosp,27.838504,-26.7038,Private Hospital,Gauteng
Mediclinic Vereeniging Hosp,27.9283,-26.6678,Private Hospital,Gauteng
Midvaal Prv Hosp,27.96935,-26.6617,Private Hospital,Gauteng
NHN Care Cure Vereen Hosp,27.930458,-26.6684,Private Hospital,Gauteng
Life Suikerbosrand Hosp,28.354079,-26.5005,Private Hospital,Gauteng
Baneng Psych Hosp,27.43667,-26.2011,Private Hospital,Gauteng
Fochville Hosp,27.49689,-26.4812,Private Hospital,Gauteng
NHN Fountain Prv Hosp,27.382881,-26.3674,Private Hospital,Gauteng
Western Deep Hosp,27.41607,-26.3733,Private Hospital,Gauteng
HEALth-WorX Noordheuwel Med Centre,27.803764,-26.0815,Private Hospital,Gauteng
Netcare Bell Street Hosp,27.804736,-26.0972,Private Hospital,Gauteng
Netcare Krugersdorp Hosp,27.77518,-26.1047,Private Hospital,Gauteng
Netcare Pinehaven Hosp,27.830418,-26.0621,Private Hospital,Gauteng
Life Robinson Hosp,27.70915,-26.1606,Private Hospital,Gauteng
Medicare Greenhills Med Centre,27.692793,-26.1597,Private Hospital,Gauteng
NHN Lenmed Randfontein Prv Hosp,27.718959,-26.1679,Private Hospital,Gauteng
S Albert Med Centre,27.71868,-26.1675,Private Hospital,Gauteng
Wesmed Med Centre,27.652711,-26.3215,Private Hospital,Gauteng
Bheki Mlangeni Dist Hosp,27.856929,-26.2478,Public Hospital,Gauteng
South Rand Hosp,28.06211,-26.2529,Public Hospital,Gauteng
Odi Hosp,28.02248,-25.5184,Public Hospital,Gauteng
Jubilee Hosp,28.26582,-25.403,Public Hospital,Gauteng
Pretoria West Hosp,28.13962,-25.7365,Public Hospital,Gauteng
Tshwane Dist Hosp,28.202561,-25.7327,Public Hospital,Gauteng
Bronkhorstspruit Hosp,28.716892,-25.8033,Public Hospital,Gauteng
Bertha Gxowa Hosp,28.16305,-26.2197,Public Hospital,Gauteng
Kopanong Hosp,27.93328,-26.614048,Public Hospital,Gauteng
Heidelberg Hosp,28.35131,-26.5036,Public Hospital,Gauteng
Carletonville Hosp,27.39446,-26.347,Public Hospital,Gauteng
Dr Y Dadoo Hosp,27.78386,-26.0996,Public Hospital,Gauteng
Chris Hani Hosp,27.93799,-26.26,Public Hospital,Gauteng
Charlotte Maxeke Hosp,28.04691,-26.174,Public Hospital,Gauteng
Dr G Mukhari Hosp,28.01216,-25.619,Public Hospital,Gauteng
Steve Biko Academic Hosp,28.202561,-25.7295,Public Hospital,Gauteng
C Hurwitz TB Hosp,27.94666,-26.2611,Public Hospital,Gauteng
Tshepong TB Hosp,28.09372,-25.7638,Public Hospital,Gauteng
East Rand TB Hosp,28.41141,-26.188,Public Hospital,Gauteng
Knights Chest Hosp,28.19389,-26.1933,Public Hospital,Gauteng
Sizwe Tropical Hosp,28.124964,-26.1374,Public Hospital,Gauteng
Tshwane Rehab Hosp,28.200872,-25.734,Public Hospital,Gauteng
Cullinan Rehab Hosp,28.53852,-25.691,Public Hospital,Gauteng
Rahima Moosa Hosp,27.97329,-26.1882,Public Hospital,Gauteng
Edenvale Hosp,28.129419,-26.1283,Public Hospital,Gauteng
Mamelodi Hosp,28.36788,-25.7186,Public Hospital,Gauteng
Pholosong Hosp,28.37705,-26.3398,Public Hospital,Gauteng
Far East Rand Hosp,28.40367,-26.2354,Public Hospital,Gauteng
Tambo Memorial Hosp,28.24449,-26.2184,Public Hospital,Gauteng
Thelle Mogoerane Reg Hosp,28.224311,-26.3569,Public Hospital,Gauteng
Sebokeng Hosp,27.84622,-26.6061,Public Hospital,Gauteng
Leratong Hosp,27.80774,-26.1713,Public Hospital,Gauteng
Helen Joseph Hosp,27.9901,-26.1839,Public Hospital,Gauteng
Kalafong Hosp,28.08948,-25.7627,Public Hospital,Gauteng
Tembisa Hosp,28.23756,-25.9828,Public Hospital,Gauteng
Tara H Moross Centre Hosp,28.036464,-26.1087,Public Hospital,Gauteng
Weskoppies Hosp,28.16057,-25.7638,Public Hospital,Gauteng
Sterkfontein Hosp,27.747403,-26.0581,Public Hospital,Gauteng
Mediclinic Newcastle Day Hosp,29.931891,-27.7672,Private Hospital,KwaZuluNatal
Mediclinic Newcastle Hosp,29.931392,-27.7685,Private Hospital,KwaZuluNatal
Ahmed Al-Kadi Prv Hosp,30.978631,-29.844,Private Hospital,KwaZuluNatal
Akeso Umhlanga Hosp,31.068422,-29.7129,Private Hospital,KwaZuluNatal
Alliance Care Umhlanga Hosp,31.021882,-29.7547,Private Hospital,KwaZuluNatal
Bluff Centre Hosp,31.020005,-29.9086,Private Hospital,KwaZuluNatal
Broadwalk Med Centre,31.018172,-29.8602,Private Hospital,KwaZuluNatal
Busamed Gateway Hosp,31.072501,-29.7226,Private Hospital,KwaZuluNatal
Busamed Hillcrest Prv Hosp,30.74085,-29.7899,Private Hospital,KwaZuluNatal
Capital Oncology and General Hosp,30.98583,-29.8517,Private Hospital,KwaZuluNatal
Chatsworth Cheshire Rehab Centre,30.886355,-29.921991,Private Hospital,KwaZuluNatal
City Hosp,31.014692,-29.8512,Private Hospital,KwaZuluNatal
DBN Eye Hosp,30.997621,-29.836,Private Hospital,KwaZuluNatal
Durban Oncology Centre,30.985862,-29.8515,Private Hospital,KwaZuluNatal
Fountain Med Centre,30.857739,-30.0964,Private Hospital,KwaZuluNatal
Highway Sub-Acute,30.761786,-29.772691,Private Hospital,KwaZuluNatal
Humana Health Care Hosp,28.211471,-25.768068,Private Hospital,KwaZuluNatal
IMA Hosp,30.90004,-29.9943,Private Hospital,KwaZuluNatal
JMH Ascot Park Hosp,31.018237,-29.8485,Private Hospital,KwaZuluNatal
JMH City Hosp,31.014662,-29.8513,Private Hospital,KwaZuluNatal
JMH Durdoc Hosp,31.017216,-29.8605,Private Hospital,KwaZuluNatal
JMH Isipingo Hosp,30.926839,-29.9863,Private Hospital,KwaZuluNatal
Kynoch Hosp,30.90682,-30.0184,Private Hospital,KwaZuluNatal
Life Chatsmed Garden Hosp,30.906225,-29.9095,Private Hospital,KwaZuluNatal
Life Entabeni Hosp,30.987428,-29.8555,Private Hospital,KwaZuluNatal
Life Mt Edgecombe Hosp,31.035649,-29.7157,Private Hospital,KwaZuluNatal
Life The Crompton Hosp,30.865212,-29.8112,Private Hospital,KwaZuluNatal
Life Westville Hosp,30.932113,-29.8509,Private Hospital,KwaZuluNatal
Malvern Centre Hosp,30.920624,-29.8814,Private Hospital,KwaZuluNatal
Mediclinic Victoria Hosp,31.118208,-29.5733,Private Hospital,KwaZuluNatal
Medicross Procare Sub-Acute Hosp,30.913635,-30.0243,Private Hospital,KwaZuluNatal
Netcare Kingsway Hosp,30.903978,-30.0328,Private Hospital,KwaZuluNatal
Netcare Parklands Hosp,30.998478,-29.834,Private Hospital,KwaZuluNatal
Netcare St Augustine's Hosp,30.990445,-29.8564,Private Hospital,KwaZuluNatal
Netcare Umhlanga Hosp,31.068697,-29.7275,Private Hospital,KwaZuluNatal
NHN Capital Haemato Hosp,30.985775,-29.8517,Private Hospital,KwaZuluNatal
NHN Healing Hills Hosp,30.663681,-29.7391,Private Hospital,KwaZuluNatal
