Facility,Province,District,Sub-District,Private/Public
Mokopane Hospital,Limpopo,Waterberg DM,Mogalakwena LM,Public Health
Ermelo Hospital,Mpumalanga,G Sibande DM,Msukaligwa LM,Public Health
Edgedale Old Age Home,KwaZulu-Natal,iLembe DM,KwaDukuza LM,Public Health
Fort Beaufort Hospital,Eastern Cape,Amathole DM,Raymond Mhlaba LM,Public Health
Mitchells Plain Hospital,Western Cape,Cape Town MM,CT Mitch Plain SD,Public Health
Witrand Psychiatric Hospital,North West,Dr K Kaunda DM,JB Marks LM,Public Health
Komga Hospital,Eastern Cape,Amathole DM,Great Kei LM,Public Health
Michael Maponya Prov Clinic,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Edendale Hospital,KwaZulu-Natal,uMgungundlovu DM,Msunduzi LM,Public Health
Mndozo Clinic,KwaZulu-Natal,Amajuba DM,Newcastle LM,Public Health
Kempton Park Civic Centre Clinic,Gauteng,Ekurhuleni MM,Ekurhuleni N1 SD,Public Health
Gamalakhe CHC,KwaZulu-Natal,Ugu DM,Ray Nkonyeni LM,Public Health
Zithobeni Clinic,Gauteng,Tshwane MM,Tshwane 7 SD,Public Health
Ventersdorp CHC,North West,Dr K Kaunda DM,JB Marks LM,Public Health
Donald Fraser Hospital,Limpopo,Vhembe DM,Thulamela LM,Public Health
Stonebridge Clinic,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Adelaide Hospital,Eastern Cape,Amathole DM,Raymond Mhlaba LM,Public Health
Eshowe Hospital,KwaZulu-Natal,King Cetshwayo DM,uMlalazi LM,Public Health
Mahikeng Provincial Hospital,North West,Ngaka Modiri Molema DM,Mahikeng LM,Public Health
Carletonville Hospital,Gauteng,West Rand DM,Merafong City LM,Public Health
Boksburg Civic Centre Clinic,Gauteng,Ekurhuleni MM,Ekurhuleni N2 SD,Public Health
Soshanguve Block JJ Clinic,Gauteng,Tshwane MM,Tshwane 1 SD,Public Health
KwaMashu Poly CHC,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Osindisweni Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Warmbaths Hospital,Limpopo,Waterberg DM,Bela-Bela LM,Public Health
Ackermans Pharmacy,Gauteng,Ekurhuleni MM,Ekurhuleni E1 SD,Private Health
Letaba Hospital,Limpopo,Mopani DM,Greater Tzaneen LM,Public Health
Chiawelo CHC,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Lenasia South CHC,Gauteng,Johannesburg MM,Johannesburg G SD,Public Health
Grey's Hospital,KwaZulu-Natal,uMgungundlovu DM,Msunduzi LM,Public Health
Murchison Hospital,KwaZulu-Natal,Ugu DM,Ray Nkonyeni LM,Public Health
Newtown A CHC,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Brooklyn Chest Hospital,Western Cape,Cape Town MM,CT Western SD,Public Health
Meadowlands Zone 2 Prov Clinic,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Port Elizabeth Provincial Hospital,Eastern Cape,N Mandela Bay MM,N Mandela C SD,Public Health
Itireleng CHC,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
RAS,KwaZulu-Natal,uMgungundlovu DM,Msunduzi LM,Public Health
Clicks Pharmacy Woodlands,Gauteng,Tshwane MM,Tshwane 6 SD,Private Health
Moses Kotane Hospital,North West,Bojanala Platinum DM,Moses Kotane LM,Public Health
Dihlabeng Hospital,Free State,T Mofutsanyana DM,Dihlabeng LM,Public Health
1DP,Gauteng,Johannesburg MM,Johannesburg E SD,Private Health
Nokuthela Ngwenya CHC,Gauteng,Ekurhuleni MM,Ekurhuleni E2 SD,Public Health
Zeerust Hospital,North West,Ngaka Modiri Molema DM,R Moiloa LM,Public Health
eDumbe CHC,KwaZulu-Natal,Zululand DM,eDumbe LM,Public Health
Pinetown Clinic,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Hillcrest Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Cloete Joubert (Barkly East) Hospital,Eastern Cape,Joe Gqabi DM,Senqu LM,Public Health
Charlotte Maxeke Hospital,Gauteng,Johannesburg MM,Johannesburg F SD,Public Health
St Rita's Hospital,Limpopo,Sekhukhune DM,Makhuduthamaga LM,Public Health
Kekana Gardens Clinic,Gauteng,Tshwane MM,Tshwane 2 SD,Public Health
Alexandra 8th Avenue Clinic,Gauteng,Johannesburg MM,Johannesburg E SD,Public Health
Discoverers CHC,Gauteng,Johannesburg MM,Johannesburg C SD,Public Health
Cofimvaba Hospital,Eastern Cape,C Hani DM,Intsika Yethu LM,Public Health
Khayelitsha Hospital,Western Cape,Cape Town MM,CT Khayelitsha SD,Public Health
Johan Heyns CHC,Gauteng,Sedibeng DM,Emfuleni LM,Public Health
Eersterust CHC,Gauteng,Tshwane MM,Tshwane 6 SD,Public Health
Madadeni Hospital,KwaZulu-Natal,Amajuba DM,Newcastle LM,Public Health
Clicks Pharmacy Graaff-Reinet,Eastern Cape,Sarah Baartman DM,Dr B Naudé LM,Private Health
Pinetown Offsite,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Private Health
Alexandra CHC,Gauteng,Johannesburg MM,Johannesburg E SD,Public Health
Nkandla Hospital,KwaZulu-Natal,King Cetshwayo DM,Nkandla LM,Public Health
Matikwana Hospital,Mpumalanga,Ehlanzeni DM,Bushbuckridge LM,Public Health
Helderberg Hospital,Western Cape,Cape Town MM,CT Eastern SD,Public Health
Umzinto Clinic,KwaZulu-Natal,Ugu DM,Umdoni LM,Public Health
Zamile Clinic,Gauteng,Tshwane MM,Tshwane 1 SD,Public Health
Dannhauser CHC,KwaZulu-Natal,Amajuba DM,Dannhauser LM,Public Health
Clairwood Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Dis-Chem Mall of Africa Pharmacy,Gauteng,Johannesburg MM,Johannesburg A SD,Private Health
Ndwedwe CHC,KwaZulu-Natal,iLembe DM,Ndwedwe LM,Public Health
Mofolo CHC,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Hewu Hospital,Eastern Cape,C Hani DM,Enoch Mgijima LM,Public Health
Job Shimankana Tabane Hospital,North West,Bojanala Platinum DM,Rustenburg LM,Public Health
East Griqualand and Usher Memorial Hospital,KwaZulu-Natal,Harry Gwala DM,Gr Kokstad LM,Public Health
Orlando Prov Clinic,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Phoenix CHC,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Taung Hospital,North West,Ruth Segomotsi Mompati DM,Greater Taung LM,Public Health
Addington Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Rob Ferreira Hospital,Mpumalanga,Ehlanzeni DM,City of Mbombela LM,Public Health
Bekkersdal West CHC,Gauteng,West Rand DM,Rand West City LM,Public Health
Carletonville Central Clinic,Gauteng,West Rand DM,Merafong City LM,Public Health
Newcastle Hospital,KwaZulu-Natal,Amajuba DM,Newcastle LM,Public Health
Clicks Pharmacy Blue Route,Western Cape,Cape Town MM,CT Southern SD,Private Health
Bethal Hospital,Mpumalanga,G Sibande DM,Govan Mbeki LM,Public Health
GJ Crooke's Hospital,KwaZulu-Natal,Ugu DM,Umdoni LM,Public Health
Clicks Pharmacy Tygervalley,Western Cape,Cape Town MM,CT Northern SD,Private Health
Victoria Hospital,Eastern Cape,Amathole DM,Raymond Mhlaba LM,Public Health
Clicks Pharmacy Westcoast Village,Western Cape,Cape Town MM,CT Western SD,Private Health
Clicks Pharmacy Sunninghill,Gauteng,Johannesburg MM,Johannesburg A SD,Private Health
Uitenhage Hospital,Eastern Cape,N Mandela Bay MM,N Mandela B SD,Public Health
Daveyton Main CDC,Gauteng,Ekurhuleni MM,Ekurhuleni E1 SD,Public Health
Ladysmith Hospital,KwaZulu-Natal,Uthukela DM,Alfred Duma LM,Public Health
Diepkloof Prov Clinic,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Turton CHC,KwaZulu-Natal,Ugu DM,Umzumbe LM,Public Health
FF Ribeiro Clinic,Gauteng,Tshwane MM,Tshwane 3 SD,Public Health
Mthatha General Hospital,Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,Public Health
Clicks Pharmacy Hayfields,KwaZulu-Natal,uMgungundlovu DM,Msunduzi LM,Private Health
Amanzimtoti Clinic,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
King Edward VIII Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Robert Mangaliso Sobukwe Hospital,Northern Cape,Frances Baard DM,Sol Plaatje LM,Public Health
Dr CN Phatudi Hospital,Limpopo,Mopani DM,Greater Tzaneen LM,Public Health
Levai Mbatha CHC,Gauteng,Sedibeng DM,Emfuleni LM,Public Health
Karl Bremer Hospital,Western Cape,Cape Town MM,CT Tygerberg SD,Public Health
Hillbrow CHC,Gauteng,Johannesburg MM,Johannesburg F SD,Public Health
Carolina Hospital,Mpumalanga,G Sibande DM,Chief Albert Luthuli LM,Public Health
Khutsong East Clinic,Gauteng,West Rand DM,Merafong City LM,Public Health
Clicks La Lucia Pharmacy,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Private Health
Benedictine Hospital,KwaZulu-Natal,Zululand DM,Nongoma LM,Public Health
Ekuhlengeni Sanatorium Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Inkosi Albert Luthuli Central Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Queen Nandi Regional Hospital,KwaZulu-Natal,King Cetshwayo DM,City of uMhlathuze LM,Public Health
Ratanda CDC,Gauteng,Sedibeng DM,Lesedi LM,Public Health
KwaMsane Clinic,KwaZulu-Natal,Umkhanyakude DM,Mtubatuba LM,Public Health
SS Gida Hospital,Eastern Cape,Amathole DM,Amahlathi LM,Public Health
Phedisong 4 CHC,Gauteng,Tshwane MM,Tshwane 1 SD,Public Health
Clicks Pharmacy Vredendal Mall,Western Cape,West Coast DM,Matzikama LM,Private Health
Nompumelelo (Peddie) Hospital,Eastern Cape,Amathole DM,Ngqushwa LM,Public Health
Wentworth Gateway Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Gelvandale Clinic,Eastern Cape,N Mandela Bay MM,N Mandela C SD,Public Health
Chris Hani Baragwanath Hospital,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Sebokeng Hospital,Gauteng,Sedibeng DM,Emfuleni LM,Public Health
Dundee Hospital,KwaZulu-Natal,Umzinyathi DM,Endumeni LM,Public Health
Prince Mshiyeni Memorial Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Randgate Clinic,Gauteng,West Rand DM,Rand West City LM,Public Health
General de la Rey Hospital,North West,Ngaka Modiri Molema DM,Ditsobotla LM,Public Health
Harding Clinic,KwaZulu-Natal,Ugu DM,Umuziwabantu LM,Public Health
East Park Pharmacy,Gauteng,Ekurhuleni MM,Ekurhuleni N1 SD,Private Health
Greytown Hospital,KwaZulu-Natal,Umzinyathi DM,Umvoti LM,Public Health
Hanover Park CHC,Western Cape,Cape Town MM,CT Klipfontein SD,Public Health
Clicks Pharmacy Kabega Park,Eastern Cape,N Mandela Bay MM,N Mandela C SD,Private Health
Umphumulo Hospital,KwaZulu-Natal,iLembe DM,Maphumulo LM,Public Health
Klerksdorp-Tshepong Tertiary Hospital,North West,Dr K Kaunda DM,City of Matlosana LM,Public Health
Brits Hospital,North West,Bojanala Platinum DM,Madibeng LM,Public Health
Port Shepstone Hospital,KwaZulu-Natal,Ugu DM,Ray Nkonyeni LM,Public Health
Joe Morolong Memorial Hospital,North West,Ruth Segomotsi Mompati DM,Naledi LM,Public Health
River Park Clinic,Gauteng,Johannesburg MM,Johannesburg E SD,Public Health
Livingstone Hospital,Eastern Cape,N Mandela Bay MM,N Mandela C SD,Public Health
Middledrift CHC,Eastern Cape,Amathole DM,Raymond Mhlaba LM,Public Health
Dr Ramirez Martinez Clinic,Gauteng,West Rand DM,Mogale City LM,Public Health
General Justice Gizenga Mpanza Hospital,KwaZulu-Natal,iLembe DM,KwaDukuza LM,Public Health
Lancers Road Clinic,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Bheki Mlangeni District Hospital,Gauteng,Johannesburg MM,Johannesburg D SD,Public Health
Clicks Pharmacy Polokwane 2,Limpopo,Capricorn DM,Polokwane LM,Private Health
Boekenhout Clinic,Gauteng,Tshwane MM,Tshwane 1 SD,Public Health
Mahatma Gandhi Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Jabulane Dumane CHC,Gauteng,Ekurhuleni MM,Ekurhuleni S1 SD,Public Health
Bedford Hospital,Eastern Cape,Amathole DM,Raymond Mhlaba LM,Public Health
Leratong Hospital,Gauteng,West Rand DM,Mogale City LM,Public Health
Clicks Pharmacy Chatsworth,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Private Health
Cathcart Hospital,Eastern Cape,Amathole DM,Amahlathi LM,Public Health
Clicks Pharmacy Shelly Beach,KwaZulu-Natal,Ugu DM,Ray Nkonyeni LM,Private Health
Clicks Pharmacy Fountains Mall,Eastern Cape,Sarah Baartman DM,Kouga LM,Private Health
St Andrew's Hospital,KwaZulu-Natal,Ugu DM,Umuziwabantu LM,Public Health
Ngwelezane Hospital,KwaZulu-Natal,King Cetshwayo DM,City of uMhlathuze LM,Public Health
Thusanang Clinic,Gauteng,West Rand DM,Merafong City LM,Public Health
