Province,District MUnicipality,Local Municipality,Name,Longitude,Latitude,ContactPerson,Address,OrgUnitOwnership
Eastern Cape,ec Sarah Baartman District Municipality,ec Dr Beyers Naud������ Local Municipality,NHLS Graaff-Reinet Lab,24.5355,-32.2606,,"Midland Hospital, Albertyn Street, Graaff-Reinet, 6280",Gov NHLS
Eastern Cape,ec Sarah Baartman District Municipality,ec Kouga Local Municipality,Ampath Jeffreys Bay Lab,24.922806,-34.0503,,"Da Schelda Centre, Cnr Da Gama and Schelde Street, Jeffreys Bay",Private
Eastern Cape,ec Sarah Baartman District Municipality,ec Kouga Local Municipality,NHLS Humansdorp Lab,24.7667,-34.0254,,"Humansdorp Hospital, Du Plessis Street, Humansdorp, 6300",Gov NHLS
Eastern Cape,ec Sarah Baartman District Municipality,ec Makana Local Municipality,Ampath Grahamstown Lab,26.52198,-33.3088,,"Shop 26, Peppergrove Mall, Grahamstown",Private
Eastern Cape,ec Sarah Baartman District Municipality,ec Makana Local Municipality,NHLS Grahamstown Lab,26.5188,-33.3021,,"Settlers Hospital, Milner Street, Grahamstown, 6139",Gov NHLS
Eastern Cape,ec Sarah Baartman District Municipality,ec Ndlambe Local Municipality,NHLS Port Alfred Lab,26.8834,-33.5947,,"Port Alfred Hospital, Southwell Road, Port Alfred, 6170",Gov NHLS
Free State,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,NHLS Groenpunt Corr Lab,27.9284,-26.7451,,"Groenpunt Correctional Centre, Vereeniging, 1930",Gov NHLS
Free State,fs Fezile Dabi District Municipality,fs Metsimaholo Local Municipality,NHLS Sasolburg Lab,27.8254,-26.8005,,"Fezi Ngumbentombi Hospital, 8 Langehoven Street, Sasolburg, 1947",Gov NHLS
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,Ampath Kroonstad Lab,27.23889,-27.6619,,"47 Brand Street, Kroonstad",Private
Free State,fs Fezile Dabi District Municipality,fs Moqhaka Local Municipality,NHLS Kroonstad Lab,27.215,-27.6455,,"Boitumelo Hospital, Small Deel Road, Kroonstad, 9500",Gov NHLS
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,Ampath Welkom Lab,26.728849,-27.9893,,"18 Lategang Street, St Helena, Welkom",Private
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,NHLS Bongani Mob Lab,26.7862,-27.9531,,,Gov NHLS
Free State,fs Lejweleputswa District Municipality,fs Matjhabeng Local Municipality,NHLS Welkom Lab,26.73625,-27.9846,,"Bongani Hospital, Mothusi Road, Thabong, Welkom, 9459",Gov NHLS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,Ampath Bloemfontein Lab,26.203667,-29.1096,,"Room 401, Kellner Street, Westdene, Bloemfontein",Private
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,Ampath House Lab,26.204834,-29.1082,,"114 Kellner Street, Westdene, Bloemfontein",Private
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,Ampath Pelonomi Lab,26.241142,-29.1361,,"Dr Belcher Road, Heidedal, Bloemfontein",Private
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,Lancet Main/Micro Lab,26.209028,-29.1062,,"30 Reid Street, Westdene, Bloemfontein",Private
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,Lancet Rosepark Lab,26.178952,-29.1493,,"Suite 105, Rosepark Hospital, Bloemfontein",Private
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,NHLS 3 Military Lab,26.1938,-29.0948,,"SAMHS 3 Military Hospital, Furstenburg Road, Bloemfontein, 9300",Gov NHLS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,NHLS Pelonomi Lab,26.2457,-29.1414,,"Pelonomi Hospital, Dr Belcher Road, Bloemfontein, 9300",Gov NHLS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,NHLS Universitas Academic Lab,26.1871,-29.1173,,"National District Hospital, DF Malherbe Road, Bloemfontein, 9300",Gov NHLS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,NHLS Universitas National Lab,26.1871,-29.1173,,"National District Hospital, 7 Roth Avenue, Bloemfontein, 9300",Gov NHLS
Free State,fs Mangaung Metropolitan Municipality,fs Bloemfontein Health sub-District,Univ of Free State NHLS,,,Jocelyn Naicker,"205 Nelson Mandela Dr, Park West, Bloemfontein, 9301",Gov NHLS
Free State,fs Mangaung Metropolitan Municipality,fs Botshabelo Health sub-District,NHLS Botshabelo Lab,26.7372,-29.2595,,"Botshabelo Hospital, Police Station Road, Botshabelo, 9781",Gov NHLS
Free State,fs Thabo Mofutsanyana District Municipality,fs Dihlabeng Local Municipality,NHLS Bethlehem Lab,28.3197,-28.2334,,"Dihlabeng Hospital, Eeufees Street, Bethlehem, 9700",Gov NHLS
Free State,fs Thabo Mofutsanyana District Municipality,fs Maluti-a-Phofung Local Municipality,Lancet Qwa Qwa Lab,28.808797,-28.5335,,"Absa Building, Motloung Street, Phuthaditjhaba",Private
Free State,fs Thabo Mofutsanyana District Municipality,fs Maluti-a-Phofung Local Municipality,NHLS Manapo Lab,28.8212,-28.5095,,"Mofumahadi Manapo Mopeli Hospital, Motebang Street, Phuthaditjhaba, 9869",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg A Health sub-District,Ampath Cedar Road Lab,27.99475,-26.0123,,"Cnr Cedar Avenue West and Cedar Road, Fourways, Johannesburg North",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg A Health sub-District,Ampath Sunninghill Lab,28.070167,-26.038,,"Ground Floor, Cnr Nanyuki and Witkoppen Road, Sunninghill, Johannesburg North",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg A Health sub-District,NHLS Witkoppen Lab,28.011062,-26.0087,,"105 William Nicol Drive, Fourways, 2055",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Ampath Garden City Lab,28.004131,-26.1974,,"1st Floor, 9 Bartlett Road, Mayfair West, Johannesburg Central",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Ampath Milpark Lab,28.018094,-26.1806,,"Netcare Milpark Hospital, Suite M1, 9 Guild Road, Parktown, Johannesburg Central",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Ampath Sandton Lab,28.012239,-26.0777,,"Room 304, Cnr Main Road and Peter Place, Bryanston, Johannesburg North",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Blairgowrie Lab,28.01367,-26.1131,,"Premier Health Centre, 13 Mackay Avenue, Blairgowrie, Randburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Donald Gordon Lab,28.034502,-26.1796,,"21 Eton Road, Parktown",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Hyde Park Lab,28.033222,-26.1256,,"Hydepark Shopping Centre, 1st Floor, 103 Hyde Park Cnr, Jan Smuts Avenue, Hyde Park, Sandton, 2196",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Oxford Lab,28.045586,-26.1549,,"127B Oxford Road, Cnr Northwold and Oxford Road, Rosebank, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Rosebank PPI House Lab,28.038451,-26.1467,,"PPI House Ground Floor, 9A Sturdee Avenue, Rosebank",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Rosebank Rosepark Lab,28.038449,-26.1467,,"3rd Floor, Rosepark Rosebank, 8 Sturdee Avenue, Rosebank, Johannesburg, 2196",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Sandton Mediclinic 1st Floor Lab,28.01204,-26.0772,,"South Wing, 1st Floor, Sandton Mediclinic, Cnr Peter Place and Main Road, Bryanston",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,Lancet Sandton Mediclinic 2nd Floor Lab,28.01204,-26.0772,,"South Wing, 2nd Floor, Sandton Mediclinic, Cnr Peter Place and Main Road, Bryanston",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,NHLS Donald Gordon Lab,28.03437,-26.1791,,,Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,NHLS Helen Joseph Lab,27.9901,-26.1839,,"Helen Joseph Hospital, Perth Road, Westdene, 2092",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg B Health sub-District,NHLS Rahima Moosa Lab,27.971322,-26.1886,,"Rahima Moosa Hospital, Crn Fuel And Oudtshoorn Roads, Newclare, 2093",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg C Health sub-District,Ampath Flora Lab,27.915958,-26.1577,,"1st Floor, William Nicol Drive, Floracliff, Johannesburg West",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg C Health sub-District,Ampath Olivedale Lab,27.972117,-26.0547,,"Suite 102, 1st Floor, Cnr President Fouche and Windsor Avenue, Olivedale, Johannesburg North",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg C Health sub-District,Ampath Wilgeheuwel Lab,27.925219,-26.0993,,"Suite 2, 1st Floor, Amplifier Road, Radiokop, Johannesburg West",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg C Health sub-District,Lancet Depot 2 Lab,27.919787,-26.1516,,"Entrance In Joseph Lister Street, Gate 2 Mayo 6 Ground Floor",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg C Health sub-District,Lancet Witpoortjie Lab,27.825281,-26.1631,,"28 McGrath Street, Witpoortjie, Krugersdorp",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg C Health sub-District,NHLS Discoverers Lab,27.8941,-26.1657,,"Discoverers CHC, Cnr Nourse and Harrison Streets, Discovery, 1709",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,NHLS Bheki Mlangeni Lab,27.8577,-26.2481,,"Bheki Mlangeni District Hospital, 2190 Bolani Street, Jabulani, 1868",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,NHLS Chris Hani Bara Lab,27.938,-26.2601,,"Chris Hani Baragwanath Hospital, Chris Hani Road, Diepkloof Ext 6, 1804",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,NHLS Chris Hani Bara Stat Lab,27.938,-26.2601,,"Chris Hani Baragwanath Hospital, Chris Hani Road, Diepkloof Ext 6, 1804",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg D Health sub-District,NHLS Johannesburg Corr Lab,27.998,-26.271,,"Johannesburg Correctional Centre, Mondeor, 2110",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Ampath Carstenhof Lab,28.13938,-26.0309,,"Room 106, Ground Floor, Dane Road, Midrand",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Ampath Linksfield Lab,28.09545,-26.1594,,"Level 1, 12th Avenue, Orange Grove, Johannesburg North",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Ampath Morningside Lab,28.054667,-26.0945,,"2nd floor East Wing, Room 225, Cnr Hill and Rivonia Road, Morningside, Johannesburg North",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Lancet Alexandra Lab,28.086364,-26.1044,,"Cnr First Avenue and Chadwick, Wynberg, Alexandra",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Lancet Houghton Lab,28.057809,-26.1549,,"81 Central Street, Houghton, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Lancet Linksfield Lab,28.0954,-26.1594,,"Linksfield Park Clinic Level 1, 24 12th Avenue, Linksfield West",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Lancet Lonehill Lab,28.034662,-26.0171,,"Lonehill Medical Centre, 17 Aston Road, Lone Hill, Sandton, 2191",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Lancet Norwood Dr Setzer Lab,28.074709,-26.1574,,"96 William Road, Norwood, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Lancet Rochester Block A Lab,28.05518,-26.0956,,"Block A, Rochester Place, 173 Rivonia Road, Rivonia, Morningside, Sandton, 2196",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,Lancet Rochester Block B Lab,28.055183,-26.0956,,"Block B, First Floor, Rochester Place, 173 Rivonia Road, Rivonia",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,NHLS,28.117694,-26.1354,Brent,Johannesburg,Gov National
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,NHLS Edenvale Lab,28.1496,-26.1419,,"Edenvale Hospital, Modderfontein Road, Edenvale, 1609",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,NHLS NICD Lab,28.117585,-26.1314,,"1 Modderfontein Road, Johannesburg, 2000",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg E Health sub-District,NHLS Sizwe Lab,28.12367,-26.1361,,"Sizwe Tropical Diseases Hospital, Modderfontein Road, Edenvale, 1609",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Ampath Mulbarton Lab,28.053825,-26.2982,,"Room 106, 25 True North Road, Mulbarton, Johannesburg South",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Lancet Bank City Lab,28.039297,-26.2033,,"FNB Bank City, Srs Preston/West, Cnr Simmonds and Pritchard Streets, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Lancet Lister Building Lab,28.046209,-26.2008,,"4th Floor, Lister Building, 195 Jeppe Street",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Lancet Meredale Lab,27.96094,-26.2762,,"Cnr Main and Ino Road, Meredale, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Lancet Mondeor Lab,28.010861,-26.2771,,"274 Columbine Avenue, Mondeor, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Lancet Mulbarton Lab,28.05302,-26.298,,"25 True North Road, Mulbarton, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Lancet Oakdene Lab,28.059621,-26.2641,,"95 Victoria Street, Oakdene, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,Lancet Robertsham Lab,28.00819,-26.2473,,"82 Anson Street, Cnr Anson and Bently Road, Robertsham, Johannesburg",Private
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,NHLS Braamfontein Central Lab,28.0434,-26.1924,,"Cnr Hospital and De Korte Street, Johannesburg, 2000",Gov NHLS
Gauteng,gp City of Johannesburg Metropolitan Municipality,gp Johannesburg F Health sub-District,NHLS Charlotte Maxeke Academic Lab,28.0469,-26.1741,,"Charlotte Maxeke Hospital, Cnr York and Jubilee Roads, Parktown, 2193",Gov NHLS
