"Population estimates per district and calendar year 2002-2021, standard DHIS Age groups",,,,,,,,,,
,"Source: StatsSA, January 2017",,,,,,,,,
,Male 40-44 years,17253,18826,20874,,,,,,
,Male 45-49 years,11273,11700,12351,,,,,,
,Male 5 years,12623,12464,12326,,,,,,
,Male 50-54 years,9360,9268,9221,,,,,,
,Male 55-59 years,8573,8293,8056,,,,,,
,Male 60-64 years,7451,7348,7194,,,,,,
,Male 65-69 years,5265,5129,5022,,,,,,
,Male 70-74 years,3507,3246,3013,,,,,,
,Male 75-79 years,2439,2153,1822,,,,,,
,Male 80 years and older,1397,1360,1326,,,,,,
,Male under 1 year,11810,11827,11831,,,,,,
Sum of All Estimated ,,1459736,1471632,1482423,,,,,,
ec Buffalo City Metropolitan Municipality,Female 00-04 years,42356,41905,41533,,,,,,
,Female 02-04 years,25791,25348,24980,,,,,,
,Female 05-09 years,46115,45411,44684,,,,,,
,Female 06-09 years,37185,36666,36106,,,,,,
,Female 1 year,8322,8275,8240,,,,,,
,Female 10-11 years,19144,19143,19034,,,,,,
,Female 10-14 years,46405,47096,47416,,,,,,
,Female 12 years,9512,9607,9628,,,,,,
,Female 13 years,9143,9366,9501,,,,,,
,Female 14 years,8605,8980,9254,,,,,,
,Female 15 years,8092,8612,9016,,,,,,
,Female 15-19 years,36106,38966,41434,,,,,,
,Female 16 years,7578,8261,8805,,,,,,
,Female 17 years,7123,7851,8453,,,,,,
,Female 18-19 years,13313,14243,15160,,,,,,
,Female 20-24 years,31034,30048,30100,,,,,,
,Female 25-29 years,38269,37349,36080,,,,,,
,Female 30-34 years,38609,39452,39253,,,,,,
,Female 35-39 years,33901,34218,35118,,,,,,
,Female 40-44 years,28108,29078,30268,,,,,,
,Female 45-49 years,23576,23862,24331,,,,,,
,Female 5 years,8931,8745,8579,,,,,,
,Female 50-54 years,21224,21489,21678,,,,,,
,Female 55-59 years,18938,18886,18943,,,,,,
,Female 60-64 years,16838,17164,17354,,,,,,
,Female 65-69 years,11639,12428,13140,,,,,,
,Female 70-74 years,6557,6814,7283,,,,,,
,Female 75-79 years,4704,4604,4339,,,,,,
,Female 80 years and older,2425,2557,2692,,,,,,
,Female under 1 year,8243,8282,8313,,,,,,
,Male 00-04 years,43457,43052,42747,,,,,,
,Male 02-04 years,26509,26028,25644,,,,,,
,Male 05-09 years,47384,46614,45829,,,,,,
,Male 06-09 years,38196,37637,37036,,,,,,
,Male 1 year,8527,8505,8497,,,,,,
,Male 10-11 years,19592,19645,19568,,,,,,
,Male 10-14 years,47379,48215,48636,,,,,,
,Male 12 years,9712,9850,9900,,,,,,
,Male 13 years,9320,9577,9736,,,,,,
,Male 14 years,8754,9144,9433,,,,,,
,Male 15 years,8214,8731,9142,,,,,,
,Male 15-19 years,36519,39300,41762,,,,,,
,Male 16 years,7671,8331,8872,,,,,,
,Male 17 years,7195,7891,8486,,,,,,
,Male 18-19 years,13438,14346,15262,,,,,,
,Male 20-24 years,31287,30472,30616,,,,,,
,Male 25-29 years,38245,37324,36101,,,,,,
,Male 30-34 years,38437,39861,39648,,,,,,
,Male 35-39 years,31781,32044,33500,,,,,,
,Male 40-44 years,26387,27266,28393,,,,,,
,Male 45-49 years,21213,21745,22386,,,,,,
,Male 5 years,9189,8977,8793,,,,,,
,Male 50-54 years,17192,17603,18002,,,,,,
,Male 55-59 years,13755,13858,14037,,,,,,
,Male 60-64 years,11227,11322,11394,,,,,,
,Male 65-69 years,7653,7948,8203,,,,,,
,Male 70-74 years,3790,3946,4152,,,,,,
,Male 75-79 years,1390,1380,1320,,,,,,
,Male 80 years and older,271,272,273,,,,,,
,Male under 1 year,8421,8519,8606,,,,,,
Sum of All Estimated ,,1209891,1224109,1236689,,,,,,
ec Chris Hani District Municipality,Female 00-04 years,45187,43697,42015,,,,,,
,Female 02-04 years,26847,26642,26185,,,,,,
,Female 05-09 years,44975,45626,45966,,,,,,
,Female 06-09 years,36047,36560,36864,,,,,,
,Female 1 year,9093,8615,8129,,,,,,
,Female 10-11 years,18251,18128,18108,,,,,,
,Female 10-14 years,44880,44644,44691,,,,,,
,Female 12 years,9105,8947,8885,,,,,,
,Female 13 years,8908,8845,8852,,,,,,
,Female 14 years,8616,8724,8847,,,,,,
,Female 15 years,8347,8605,8828,,,,,,
,Female 15-19 years,39311,40893,42209,,,,,,
,Female 16 years,8092,8518,8847,,,,,,
,Female 17 years,7843,8319,8682,,,,,,
,Female 18-19 years,15029,15451,15853,,,,,,
,Female 20-24 years,35949,33857,32680,,,,,,
,Female 25-29 years,42215,40872,38949,,,,,,
,Female 30-34 years,38610,40382,40796,,,,,,
,Female 35-39 years,26154,28136,30403,,,,,,
,Female 40-44 years,16360,17244,18701,,,,,,
,Female 45-49 years,13877,13929,14081,,,,,,
,Female 5 years,8928,9066,9102,,,,,,
,Female 50-54 years,13346,13202,13043,,,,,,
,Female 55-59 years,13394,13014,12711,,,,,,
,Female 60-64 years,12900,12986,12916,,,,,,
,Female 65-69 years,10325,10431,10586,,,,,,
,Female 70-74 years,8221,8192,8178,,,,,,
,Female 75-79 years,7014,6686,6440,,,,,,
,Female 80 years and older,7877,8281,8695,,,,,,
,Female under 1 year,9248,8441,7701,,,,,,
,Male 00-04 years,46313,44815,43132,,,,,,
,Male 02-04 years,27396,27198,26756,,,,,,
,Male 05-09 years,45998,46536,46774,,,,,,
,Male 06-09 years,36905,37311,37514,,,,,,
,Male 1 year,9347,8867,8380,,,,,,
,Male 10-11 years,18876,18644,18510,,,,,,
,Male 10-14 years,46653,46176,45967,,,,,,
,Male 12 years,9469,9249,9121,,,,,,
,Male 13 years,9294,9184,9139,,,,,,
,Male 14 years,9014,9099,9197,,,,,,
,Male 15 years,8757,9016,9237,,,,,,
,Male 15-19 years,41260,42992,44451,,,,,,
,Male 16 years,8516,8966,9319,,,,,,
,Male 17 years,8260,8777,9179,,,,,,
,Male 18-19 years,15726,16234,16716,,,,,,
,Male 20-24 years,36842,34854,33780,,,,,,
,Male 25-29 years,42888,41298,39228,,,,,,
,Male 30-34 years,39323,41654,41880,,,,,,
,Male 35-39 years,25028,26772,29386,,,,,,
,Male 40-44 years,15497,16547,18074,,,,,,
,Male 45-49 years,11629,11925,12338,,,,,,
,Male 5 years,9093,9225,9260,,,,,,
,Male 50-54 years,9856,9892,9932,,,,,,
,Male 55-59 years,8999,8786,8639,,,,,,
,Male 60-64 years,8347,8262,8126,,,,,,
,Male 65-69 years,6610,6574,6545,,,,,,
,Male 70-74 years,5003,4884,4781,,,,,,
,Male 75-79 years,4229,4017,3796,,,,,,
,Male 80 years and older,6165,6587,7025,,,,,,
,Male under 1 year,9570,8750,7996,,,,,,
Sum of All Estimated ,,1175812,1180024,1182121,,,,,,
ec Joe Gqabi District Municipality,Female 00-04 years,20753,20739,20752,,,,,,
,Female 02-04 years,12528,12466,12439,,,,,,
,Female 05-09 years,20956,20980,20992,,,,,,
,Female 06-09 years,16753,16798,16822,,,,,,
,Female 1 year,4129,4137,4147,,,,,,
,Female 10-11 years,8256,8384,8460,,,,,,
,Female 10-14 years,20097,20509,20803,,,,,,
,Female 12 years,4064,4152,4207,,,,,,
,Female 13 years,3957,4053,4126,,,,,,
,Female 14 years,3821,3920,4011,,,,,,
,Female 15 years,3696,3797,3904,,,,,,
,Female 15-19 years,17773,18090,18546,,,,,,
,Female 16 years,3571,3679,3805,,,,,,
,Female 17 years,3493,3584,3706,,,,,,
,Female 18-19 years,7013,7029,7130,,,,,,
,Female 20-24 years,18673,17827,17209,,,,,,
,Female 25-29 years,21837,21215,20427,,,,,,
,Female 30-34 years,20183,21224,21518,,,,,,
,Female 35-39 years,13612,14610,15828,,,,,,
,Female 40-44 years,8271,8933,9813,,,,,,
,Female 45-49 years,6033,6170,6405,,,,,,
,Female 5 years,4203,4182,4169,,,,,,
,Female 50-54 years,5480,5473,5461,,,,,,
,Female 55-59 years,5261,5129,5035,,,,,,
,Female 60-64 years,5090,5056,4982,,,,,,
,Female 65-69 years,4237,4230,4230,,,,,,
,Female 70-74 years,3387,3363,3340,,,,,,
,Female 75-79 years,2691,2591,2517,,,,,,
,Female 80 years and older,3193,3187,3184,,,,,,
,Female under 1 year,4097,4136,4166,,,,,,
,Male 00-04 years,21343,21353,21397,,,,,,
,Male 02-04 years,12873,12828,12823,,,,,,
,Male 05-09 years,21485,21532,21572,,,,,,
,Male 06-09 years,17171,17234,17279,,,,,,
,Male 1 year,4249,4262,4277,,,,,,
,Male 10-11 years,8441,8576,8655,,,,,,
,Male 10-14 years,20501,20934,21243,,,,,,
,Male 12 years,4147,4238,4294,,,,,,
,Male 13 years,4030,4131,4207,,,,,,
,Male 14 years,3883,3989,4087,,,,,,
,Male 15 years,3745,3856,3975,,,,,,
,Male 15-19 years,17863,18240,18775,,,,,,
,Male 16 years,3608,3727,3869,,,,,,
,Male 17 years,3513,3618,3758,,,,,,
,Male 18-19 years,6997,7038,7173,,,,,,
,Male 20-24 years,18249,17452,16891,,,,,,
,Male 25-29 years,20831,20262,19508,,,,,,
,Male 30-34 years,19040,20223,20429,,,,,,
,Male 35-39 years,12467,13238,14479,,,,,,
,Male 40-44 years,7670,8354,9195,,,,,,
,Male 45-49 years,4984,5235,5589,,,,,,
,Male 5 years,4314,4298,4293,,,,,,
,Male 50-54 years,3790,3886,3985,,,,,,
,Male 55-59 years,2984,2949,2946,,,,,,
,Male 60-64 years,2567,2510,2453,,,,,,
,Male 65-69 years,1956,1910,1860,,,,,,
,Male 70-74 years,1338,1272,1210,,,,,,
,Male 75-79 years,968,884,791,,,,,,
,Male 80 years and older,585,536,488,,,,,,
,Male under 1 year,4221,4263,4296,,,,,,
Sum of All Estimated ,,536921,542471,547931,,,,,,
ec Nelson Mandela Bay Municipality,Female 00-04 years,63617,61557,59354,,,,,,
,Female 02-04 years,38458,37864,37057,,,,,,
,Female 05-09 years,66379,66711,66666,,,,,,
,Female 06-09 years,53300,53614,53646,,,,,,
,Female 1 year,12607,12023,11441,,,,,,
,Female 10-11 years,26861,26879,26896,,,,,,
,Female 10-14 years,65207,65792,66315,,,,,,
,Female 12 years,13273,13261,13278,,,,,,
,Female 13 years,12839,13000,13149,,,,,,
,Female 14 years,12234,12652,12991,,,,,,
,Female 15 years,11658,12307,12815,,,,,,
,Female 15-19 years,53016,56945,60143,,,,,,
,Female 16 years,11093,11993,12676,,,,,,
,Female 17 years,10552,11547,12312,,,,,,
,Female 18-19 years,19714,21098,22341,,,,,,
,Female 20-24 years,45094,44491,45147,,,,,,
,Female 25-29 years,53992,52922,51546,,,,,,
,Female 30-34 years,55755,56966,56704,,,,,,
,Female 35-39 years,50594,50969,52219,,,,,,
,Female 40-44 years,43705,45034,46725,,,,,,
,Female 45-49 years,37853,38380,39129,,,,,,
,Female 5 years,13079,13098,13020,,,,,,
,Female 50-54 years,33885,34519,35031,,,,,,
,Female 55-59 years,29523,29724,30087,,,,,,
,Female 60-64 years,26094,26612,26973,,,,,,
,Female 65-69 years,20116,20828,21535,,,,,,
,Female 70-74 years,14016,14615,15230,,,,,,
,Female 75-79 years,8773,9212,9641,,,,,,
,Female 80 years and older,5971,6258,6551,,,,,,
,Female under 1 year,12552,11670,10856,,,,,,
,Male 00-04 years,65048,63109,61064,,,,,,
,Male 02-04 years,39401,38786,37998,,,,,,
,Male 05-09 years,68212,68448,68332,,,,,,
,Male 06-09 years,54781,55028,55007,,,,,,
,Male 1 year,12868,12332,11801,,,,,,
,Male 10-11 years,27605,27671,27709,,,,,,
,Male 10-14 years,66930,67688,68310,,,,,,
,Male 12 years,13633,13667,13709,,,,,,
,Male 13 years,13169,13374,13550,,,,,,
,Male 14 years,12524,12977,13342,,,,,,
,Male 15 years,11911,12589,13122,,,,,,
,Male 15-19 years,54185,58195,61503,,,,,,
,Male 16 years,11310,12232,12941,,,,,,
,Male 17 years,10754,11765,12554,,,,,,
,Male 18-19 years,20209,21610,22885,,,,,,
,Male 20-24 years,47196,46590,47249,,,,,,
,Male 25-29 years,57490,56547,55252,,,,,,
,Male 30-34 years,58577,60972,60949,,,,,,
,Male 35-39 years,49256,49727,52078,,,,,,
,Male 40-44 years,41735,43133,44937,,,,,,
,Male 45-49 years,34892,35565,36458,,,,,,
,Male 5 years,13430,13420,13326,,,,,,
,Male 50-54 years,29538,30250,30878,,,,,,
,Male 55-59 years,23755,24162,24663,,,,,,
,Male 60-64 years,19339,19598,19870,,,,,,
,Male 65-69 years,13856,14343,14764,,,,,,
,Male 70-74 years,7905,8258,8665,,,,,,
,Male 75-79 years,3832,3939,4018,,,,,,
,Male 80 years and older,1057,1062,1070,,,,,,
,Male under 1 year,12779,11990,11264,,,,,,
Sum of All Estimated ,,1818987,1841568,1860742,,,,,,
ec Oliver Tambo District Municipality,Female 00-04 years,95404,96051,97041,,,,,,
,Female 02-04 years,58177,57603,57453,,,,,,
,Female 05-09 years,96620,96006,95518,,,,,,
,Female 06-09 years,77024,76762,76490,,,,,,
,Female 1 year,18845,19199,19580,,,,,,
,Female 10-11 years,36836,37895,38503,,,,,,
,Female 10-14 years,88060,91230,93393,,,,,,
,Female 12 years,17794,18589,19084,,,,,,
,Female 13 years,17111,17856,18393,,,,,,
,Female 14 years,16319,16890,17412,,,,,,
,Female 15 years,15559,15978,16494,,,,,,
,Female 15-19 years,73632,73922,75576,,,,,,
,Female 16 years,14769,15045,15571,,,,,,
,Female 17 years,14298,14393,14837,,,,,,
,Female 18-19 years,29005,28506,28673,,,,,,
,Female 20-24 years,78340,74190,70767,,,,,,
,Female 25-29 years,84199,82979,80525,,,,,,
,Female 30-34 years,70066,74324,76168,,,,,,
,Female 35-39 years,46000,48978,52887,,,,,,
,Female 40-44 years,29676,31436,33888,,,,,,
,Female 45-49 years,23121,23386,23894,,,,,,
,Female 5 years,19596,19244,19027,,,,,,
,Female 50-54 years,21381,21251,21085,,,,,,
,Female 55-59 years,20407,20053,19780,,,,,,
,Female 60-64 years,18276,18689,18848,,,,,,
,Female 65-69 years,13810,13951,14251,,,,,,
,Female 70-74 years,11040,10982,10900,,,,,,
,Female 75-79 years,9604,8936,8524,,,,,,
,Female 80 years and older,11568,12235,12916,,,,,,
,Female under 1 year,18383,19249,20008,,,,,,
,Male 00-04 years,99059,99738,100774,,,,,,
,Male 02-04 years,60309,59788,59699,,,,,,
,Male 05-09 years,100227,99690,99276,,,,,,
,Male 06-09 years,79924,79716,79496,,,,,,
,Male 1 year,19587,19941,20324,,,,,,
,Male 10-11 years,38306,39362,39957,,,,,,
,Male 10-14 years,91472,94725,96937,,,,,,
,Male 12 years,18507,19300,19787,,,,,,
,Male 13 years,17766,18536,19090,,,,,,
,Male 14 years,16893,17527,18103,,,,,,
,Male 15 years,16052,16569,17173,,,,,,
,Male 15-19 years,75160,76110,78377,,,,,,
,Male 16 years,15179,15594,16244,,,,,,
,Male 17 years,14614,14868,15457,,,,,,
,Male 18-19 years,29315,29079,29503,,,,,,
,Male 20-24 years,77401,73521,70456,,,,,,
,Male 25-29 years,82225,81355,79195,,,,,,
,Male 30-34 years,66744,72206,74275,,,,,,
,Male 35-39 years,39894,42769,47422,,,,,,
,Male 40-44 years,23438,25680,28443,,,,,,
,Male 45-49 years,14359,15087,16118,,,,,,
,Male 5 years,20304,19973,19781,,,,,,
,Male 50-54 years,11124,11178,11281,,,,,,
,Male 55-59 years,9686,9459,9283,,,,,,
,Male 60-64 years,8173,8194,8125,,,,,,
,Male 65-69 years,5769,5688,5654,,,,,,
,Male 70-74 years,4232,4052,3871,,,,,,
,Male 75-79 years,3555,3222,2928,,,,,,
,Male 80 years and older,3628,3601,3582,,,,,,
,Male under 1 year,19162,20009,20751,,,,,,
Sum of All Estimated ,,2226984,2252345,2278848,,,,,,
ec Sarah Baartman District Municipality,Female 00-04 years,25933,25492,25053,,,,,,
,Female 02-04 years,15712,15483,15245,,,,,,
,Female 05-09 years,27461,27323,27111,,,,,,
,Female 06-09 years,22086,22002,21853,,,,,,
,Female 1 year,5125,5026,4930,,,,,,
,Female 10-11 years,11236,11276,11272,,,,,,
,Female 10-14 years,27349,27726,27966,,,,,,
,Female 12 years,5574,5624,5650,,,,,,
,Female 13 years,5396,5504,5581,,,,,,
,Female 14 years,5141,5323,5464,,,,,,
,Female 15 years,4897,5146,5347,,,,,,
,Female 15-19 years,22330,23742,24967,,,,,,
,Female 16 years,4653,4977,5240,,,,,,
,Female 17 years,4429,4778,5069,,,,,,
,Female 18-19 years,8352,8840,9310,,,,,,
,Female 20-24 years,19374,19206,19449,,,,,,
,Female 25-29 years,22254,21926,21495,,,,,,
,Female 30-34 years,22263,22900,22940,,,,,,
,Female 35-39 years,18607,19183,20007,,,,,,
,Female 40-44 years,15006,15411,16091,,,,,,
,Female 45-49 years,13642,13703,13819,,,,,,
,Female 5 years,5375,5321,5258,,,,,,
,Female 50-54 years,12317,12571,12743,,,,,,
,Female 55-59 years,10263,10450,10684,,,,,,
,Female 60-64 years,8792,8919,9042,,,,,,
,Female 65-69 years,7051,7190,7330,,,,,,
,Female 70-74 years,5380,5435,5510,,,,,,
,Female 75-79 years,3970,4030,4054,,,,,,
,Female 80 years and older,3390,3525,3664,,,,,,
,Female under 1 year,5095,4983,4877,,,,,,
,Male 00-04 years,27048,26503,25954,,,,,,
,Male 02-04 years,16439,16197,15934,,,,,,
,Male 05-09 years,28630,28588,28456,,,,,,
,Male 06-09 years,23003,23001,22923,,,,,,
,Male 1 year,5335,5201,5071,,,,,,
,Male 10-11 years,11601,11673,11706,,,,,,
,Male 10-14 years,28120,28565,28887,,,,,,
,Male 12 years,5729,5789,5831,,,,,,
,Male 13 years,5532,5650,5742,,,,,,
,Male 14 years,5258,5452,5609,,,,,,
,Male 15 years,4997,5261,5476,,,,,,
,Male 15-19 years,22789,24259,25534,,,,,,
,Male 16 years,4740,5079,5356,,,,,,
,Male 17 years,4511,4874,5177,,,,,,
,Male 18-19 years,8540,9044,9525,,,,,,
,Male 20-24 years,20308,20101,20304,,,,,,
,Male 25-29 years,24612,24178,23656,,,,,,
,Male 30-34 years,24834,26098,26251,,,,,,
,Male 35-39 years,19164,19762,21080,,,,,,
,Male 40-44 years,15363,15835,16592,,,,,,
,Male 45-49 years,13318,13508,13746,,,,,,
,Male 5 years,5627,5587,5533,,,,,,
,Male 50-54 years,11214,11540,11809,,,,,,
,Male 55-59 years,8699,8906,9159,,,,,,
,Male 60-64 years,6991,7041,7120,,,,,,
,Male 65-69 years,5347,5420,5474,,,,,,
,Male 70-74 years,3821,3798,3805,,,,,,
,Male 75-79 years,2941,2932,2864,,,,,,
,Male 80 years and older,1665,1696,1729,,,,,,
,Male under 1 year,5274,5106,4949,,,,,,
Sum of All Estimated ,,739903,749659,758273,,,,,,
Total Eastern Cape,,10532245,10640344,10739665,,,,,,
fs Fezile Dabi District Municipality,Female 00-04 years,22398,22186,22031,,,,,,
,Female 02-04 years,13799,13523,13320,,,,,,
,Female 05-09 years,23741,23517,23275,,,,,,
,Female 06-09 years,19009,18888,18728,,,,,,
,Female 1 year,4379,4368,4363,,,,,,
,Female 10-11 years,9335,9536,9623,,,,,,
,Female 10-14 years,22787,23370,23717,,,,,,
,Female 12 years,4581,4736,4820,,,,,,
,Female 13 years,4489,4626,4716,,,,,,
,Female 14 years,4382,4472,4557,,,,,,
,Female 15 years,4277,4324,4405,,,,,,
,Female 15-19 years,20791,20712,20978,,,,,,
,Female 16 years,4167,4167,4244,,,,,,
,Female 17 years,4099,4065,4129,,,,,,
,Female 18-19 years,8247,8156,8199,,,,,,
,Female 20-24 years,21420,21126,20736,,,,,,
,Female 25-29 years,22444,21924,21436,,,,,,
,Female 30-34 years,22172,22912,22937,,,,,,
,Female 35-39 years,18508,18666,19230,,,,,,
,Female 40-44 years,15735,16092,16592,,,,,,
,Female 45-49 years,13167,13436,13719,,,,,,
,Female 5 years,4732,4629,4547,,,,,,
,Female 50-54 years,11165,11335,11508,,,,,,
,Female 55-59 years,9674,9703,9773,,,,,,
,Female 60-64 years,8768,8755,8727,,,,,,
,Female 65-69 years,7392,7469,7528,,,,,,
,Female 70-74 years,5686,5767,5845,,,,,,
,Female 75-79 years,3918,4043,4137,,,,,,
,Female 80 years and older,3653,3764,3879,,,,,,
,Female under 1 year,4220,4294,4348,,,,,,
,Male 00-04 years,22772,22571,22427,,,,,,
,Male 02-04 years,14024,13768,13584,,,,,,
,Male 05-09 years,23900,23751,23583,,,,,,
,Male 06-09 years,19110,19051,18953,,,,,,
,Male 1 year,4457,4445,4437,,,,,,
,Male 10-11 years,9309,9538,9654,,,,,,
,Male 10-14 years,22715,23325,23711,,,,,,
,Male 12 years,4557,4723,4818,,,,,,
,Male 13 years,4471,4608,4703,,,,,,
,Male 14 years,4378,4456,4536,,,,,,
,Male 15 years,4288,4311,4377,,,,,,
,Male 15-19 years,21069,20830,20974,,,,,,
,Male 16 years,4193,4157,4210,,,,,,
,Male 17 years,4148,4071,4106,,,,,,
,Male 18-19 years,8440,8291,8282,,,,,,
,Male 20-24 years,22479,22216,21786,,,,,,
,Male 25-29 years,23984,23492,23052,,,,,,
,Male 30-34 years,24195,25135,25011,,,,,,
,Male 35-39 years,19599,19730,20625,,,,,,
,Male 40-44 years,16460,16852,17415,,,,,,
,Male 45-49 years,13868,14003,14207,,,,,,
,Male 5 years,4790,4701,4631,,,,,,
,Male 50-54 years,11833,12009,12138,,,,,,
,Male 55-59 years,9667,9735,9842,,,,,,
,Male 60-64 years,8040,8047,8062,,,,,,
,Male 65-69 years,5971,6054,6110,,,,,,
,Male 70-74 years,3743,3801,3870,,,,,,
,Male 75-79 years,2079,2125,2134,,,,,,
,Male 80 years and older,1059,1061,1065,,,,,,
,Male under 1 year,4291,4358,4405,,,,,,
Sum of All Estimated ,,687024,689776,692755,,,,,,
fs Lejweleputswa District Municipality,Female 00-04 years,30511,30117,29742,,,,,,
,Female 02-04 years,18516,18257,18030,,,,,,
,Female 05-09 years,31524,31397,31220,,,,,,
,Female 06-09 years,25256,25197,25081,,,,,,
,Female 1 year,6040,5961,5884,,,,,,
,Female 10-11 years,12608,12728,12758,,,,,,
,Female 10-14 years,31140,31488,31659,,,,,,
,Female 12 years,6260,6349,6385,,,,,,
