Province,District,Local Municipality,Name,Longitude,Latitude,ContactPerson,Address,OrgUnitOwnership
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Austerville House,30.98339,-29.9403,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Azalea House,30.31865,-29.6893,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Highway Hospice,30.96897,-29.8324,,,Not-for-profit
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Jewel House,30.997199,-29.8515,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Jona Vaughan House,30.891552,-30.037,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Khanya Hospice,,,,,Not-for-profit
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Scadifa Chatsworth House,,,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,St Luke's Home,,,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,St Mary's Outreach Hospice,,,,,Not-for-profit
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,The Manor House,,,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Umlazi House,30.93773,-29.9586,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Verulam Frail Care,31.039444,-29.6436,,,Province Aided
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Verulam Hospice,31.052308,-29.6519,,,Not-for-profit
KwaZulu-Natal,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,Wentworth House,,,,,Province Aided
KwaZulu-Natal,kz iLembe District Municipality,kz Mandeni Local Municipality,Blessed Gerard Care Centre,,,,,Not-for-profit
KwaZulu-Natal,kz King Cetshwayo District Municipality,kz City of uMhlathuze Local Municipality,Zululand Hospice,,,,,Not-for-profit
KwaZulu-Natal,kz King Cetshwayo District Municipality,kz uMlalazi Local Municipality,Holy Cross Hospice,,,,,Not-for-profit
KwaZulu-Natal,kz uMgungundlovu District Municipality,kz Msunduzi Local Municipality,Msunduzi Hospice,,,,,Not-for-profit
KwaZulu-Natal,kz uMgungundlovu District Municipality,kz uMngeni Local Municipality,Howick Hospice,30.23167,-29.4869,,,Not-for-profit
KwaZulu-Natal,kz Umzinyathi District Municipality,kz Msinga Local Municipality,Philanjalo Hospice,,,,,Not-for-profit
Limpopo,lp Capricorn District Municipality,lp Polokwane Local Municipality,Pietersburg Place of Safety,29.43771,-23.8724,,,Gov Province
Northern Cape,nc Frances Baard District Municipality,nc Sol Plaatje Local Municipality,Helen Bishop Home,24.766311,-28.7238,,,Gov Province
Northern Cape,nc Pixley ka Seme District Municipality,nc Emthanjeni Local Municipality,Hanover Wellness,,,,,Gov Other
Northern Cape,nc Pixley ka Seme District Municipality,nc Umsobomvu Local Municipality,Colesberg Truck Wellness,,,,,Gov Other
North West,nw Ngaka Modiri Molema District Municipality,nw Ramotshere Moiloa Local Municipality,SAVF Zeerust,,,,,Province Aided
Western Cape,wc Central Karoo District Municipality,wc Beaufort West Local Municipality,Beaufort West RTC Pal,,,,,Not-for-profit
Western Cape,wc Central Karoo District Municipality,wc Beaufort West Local Municipality,Nelspoort RTC Pal,,,,,Not-for-profit
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Southern Health sub-District,Claremont House Frail Care,18.466,-33.982,,,Gov Province
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Tygerberg Health sub-District,Tygerberg Hospice Trust,,,,,Not-for-profit
Western Cape,wc Garden Route District Municipality,wc Knysna Local Municipality,Life Knysna Frail Care,23.080507,-34.0527,,Hunters Drive,Private
