ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_ID,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_ID,ADM2_EN,ADM2_TYPE,ADM3_PCODE,ADM3_ID,ADM3_EN,ADM3_REF,ADM3_TYPE,POP_SOURCE,p0_04,p05_09,p10_14,p15_19,p20_24,p25_29,p30_34,p35_39,p40_44,p45_49,p50_54,p55_59,p60_64,p65_69,p70_74,p75_79,p80_84,p85plus,p_Total
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA524,DC24,Umzinyathi,District Municipality,ZA5245,KZN245,Umvoti,Umvoti,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,13904,13880,13650,17184,13563,11714,9065,5070,4322,4060,3665,3211,3091,2476,1755,727,442,645,122423
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA525,DC25,Amajuba,District Municipality,ZA5252,KZN252,Newcastle,Newcastle,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,44275,45389,42200,43067,42011,37511,30905,22168,18087,14944,12763,11824,9777,6166,4210,2138,959,722,389117
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA525,DC25,Amajuba,District Municipality,ZA5253,KZN253,Emadlangeni,Emadlangeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,4504,4887,4836,3754,3594,3268,2581,1694,1456,1537,1299,1156,903,615,378,211,123,73,36869
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA525,DC25,Amajuba,District Municipality,ZA5254,KZN254,Dannhauser,Dannhauser,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,14179,13591,14395,12720,11143,8357,6816,4802,3843,3325,2824,2718,2466,1752,1172,628,318,291,105341
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA526,DC26,Zululand,District Municipality,ZA5261,KZN261,eDumbe,eDumbe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,12079,12000,12914,11115,8661,7747,6237,3414,2857,2631,2071,2309,1542,1191,1277,765,343,460,89614
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA526,DC26,Zululand,District Municipality,ZA5262,KZN262,uPhongolo,uPhongolo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,19593,19245,18448,18533,15927,13092,9177,5380,4524,3567,2921,3155,2367,1889,1444,867,467,650,141247
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA526,DC26,Zululand,District Municipality,ZA5263,KZN263,Abaqulusi,Abaqulusi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,30123,31104,31126,30499,23649,23367,19281,10331,8387,7651,6316,6148,5379,4099,2762,1641,942,990,243795
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA526,DC26,Zululand,District Municipality,ZA5265,KZN265,Nongoma,Nongoma,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,31596,31266,27199,27668,21969,18532,13359,6918,5748,4836,5105,4538,4150,3354,2573,1432,787,862,211892
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA526,DC26,Zululand,District Municipality,ZA5266,KZN266,Ulundi,Ulundi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,30200,28042,26319,24858,19988,19609,14926,8109,6538,5481,4977,4758,3822,3310,1966,1345,540,974,205762
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA527,DC27,Umkhanyakude,District Municipality,ZA5271,KZN271,Umhlabuyalingana,Umhlabuyalingana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,23890,23611,22548,20041,16239,15540,10778,8133,6721,6094,4706,3408,2881,2824,1779,1338,642,904,172077
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA527,DC27,Umkhanyakude,District Municipality,ZA5272,KZN272,Jozini,Jozini,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,28219,27171,26954,24667,20242,17353,13979,7878,6576,5863,5062,4531,2895,2368,1730,1190,672,864,198215
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA527,DC27,Umkhanyakude,District Municipality,ZA5275,KZN275,Mtubatuba,Mtubatuba,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,29496,27465,25481,22947,19787,19093,15652,8455,7088,5487,5061,4657,3546,2854,1899,1339,979,889,202176
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA527,DC27,Umkhanyakude,District Municipality,ZA5276,KZN276,Big Five Hlabisa,Big Five Hlabisa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,17237,15088,14621,14442,12203,10508,7245,4271,4116,3454,3192,2982,2419,1572,1507,787,509,469,116622
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA528,DC28,Uthungulu,District Municipality,ZA5281,KZN281,Mfolozi,Mfolozi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,20807,19601,18857,13367,14003,14592,10262,7001,5152,4160,3792,3949,2956,2291,1527,796,556,694,144363
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA528,DC28,Uthungulu,District Municipality,ZA5282,KZN282,uMhlathuze,uMhlathuze,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,50730,47166,44714,38998,43240,44510,35912,23793,20306,15670,13615,10441,7986,5732,3594,1938,1132,989,410465
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA528,DC28,Uthungulu,District Municipality,ZA5284,KZN284,uMlalazi,uMlalazi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,34057,31712,30597,21926,19001,17723,12473,9660,8412,7381,7143,6088,5322,4869,2887,2000,903,986,223140
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA528,DC28,Uthungulu,District Municipality,ZA5285,KZN285,Mthonjaneni,Mthonjaneni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,13330,12020,11291,7602,6848,5389,4464,3466,2750,2397,2463,1979,1315,1355,914,565,369,368,78883
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA528,DC28,Uthungulu,District Municipality,ZA5286,KZN286,Nkandla,Nkandla,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,17823,18510,16145,12785,9481,7322,5907,4215,3425,2862,3516,2822,3202,2429,1688,931,535,685,114284
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA529,DC29,iLembe,District Municipality,ZA5291,KZN291,Mandeni,Mandeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,16857,15390,14995,16302,16255,15159,12668,8373,7397,5605,4865,3785,3401,2757,1895,1057,577,468,147808
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA529,DC29,iLembe,District Municipality,ZA5292,KZN292,KwaDukuza,KwaDukuza,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,28231,25783,22558,29560,30250,31182,26551,18137,15798,12134,9718,6923,6217,5755,3817,2297,1122,685,276719
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA529,DC29,iLembe,District Municipality,ZA5293,KZN293,Ndwedwe,Ndwedwe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,17353,18018,15500,17225,13865,12103,7947,6715,5850,4859,4730,4625,4356,4140,2561,1714,659,897,143117
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA529,DC29,iLembe,District Municipality,ZA5294,KZN294,Maphumulo,Maphumulo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,11989,12297,10455,10986,8141,6633,4893,3323,3486,2869,2781,2537,2905,2815,1593,1063,656,548,89969
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA543,DC43,Sisonke,District Municipality,ZA5433,KZN433,Greater Kokstad,Greater Kokstad,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,9682,8250,7285,8367,8673,9858,8137,3682,3311,2594,2069,1763,1384,672,445,380,105,98,76753
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA543,DC43,Sisonke,District Municipality,ZA5434,KZN434,Ubuhlebezwe,Ubuhlebezwe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,17247,15679,14910,13761,11572,10937,8076,4336,3933,3507,3431,2933,2801,2059,1357,708,480,619,118346
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA543,DC43,Sisonke,District Municipality,ZA5435,KZN435,Umzimkhulu,Umzimkhulu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,30032,27221,26916,24587,19992,16902,12669,6163,5644,5521,4606,4216,3556,3628,2625,1278,1053,678,197286
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA543,DC43,Sisonke,District Municipality,ZA5436,KZN436,Dr Nkosazana Dlamini Zuma,Dr Nkosazana Dlamini Zuma,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,15568,16606,14808,14354,11316,11019,8744,4685,4241,3364,3142,2546,2935,2263,1351,740,409,389,118480
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA933,DC33,Mopani,District Municipality,ZA9331,LIM331,Greater Giyani,Greater Giyani,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,32422,29401,26154,33376,25700,22006,18085,13516,11490,9808,8618,7397,5913,4195,3363,2123,1191,1368,256127
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA933,DC33,Mopani,District Municipality,ZA9332,LIM332,Greater Letaba,Greater Letaba,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,26423,23625,19975,27849,23180,19625,15150,11284,9488,9225,7714,6360,5785,4184,3502,2215,1148,1298,218030
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA933,DC33,Mopani,District Municipality,ZA9333,LIM333,Greater Tzaneen,Greater Tzaneen,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,46177,42029,34818,45608,43385,41726,32958,26415,23251,19993,16817,13283,11312,6501,5037,3046,1547,2244,416146
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA933,DC33,Mopani,District Municipality,ZA9334,LIM334,Ba-Phalaborwa,Ba-Phalaborwa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,19639,17877,15466,18453,17500,15665,14872,12054,10004,7961,5739,4674,3274,2314,1495,1083,450,418,168937
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA933,DC33,Mopani,District Municipality,ZA9335,LIM335,Maruleng,Maruleng,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,11670,10522,9474,11522,10353,9785,7713,5658,5136,4799,3583,3054,2591,1637,1046,680,339,383,99946
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA934,DC34,Vhembe,District Municipality,ZA9341,LIM341,Musina,Musina,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,16807,11813,11580,13256,15038,15987,14561,9185,6865,5946,2926,2910,1914,1187,757,383,340,556,132009
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA934,DC34,Vhembe,District Municipality,ZA9343,LIM343,Thulamela,Thulamela,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,63553,54818,50125,59074,55373,44377,33946,26070,22404,21125,18248,14649,10687,7383,5279,3006,2792,4327,497237
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA934,DC34,Vhembe,District Municipality,ZA9344,LIM344,Makhado,Makhado,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,52279,46260,42834,51242,41088,33230,27680,22585,19968,17823,15520,13262,10499,6312,5445,3918,2862,3922,416728
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA934,DC34,Vhembe,District Municipality,ZA9345,LIM345,Collins Chabane,Collins Chabane,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,45643,42258,38934,45344,35963,26377,21335,17431,14862,12663,11762,9300,8513,5084,4950,3001,2073,2482,347974
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA935,DC35,Capricorn,District Municipality,ZA9351,LIM351,Blouberg,Blouberg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,24233,23436,21329,22457,16117,11351,8434,6623,5989,6499,5087,4346,4641,3971,2967,2306,1309,1505,172601
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA935,DC35,Capricorn,District Municipality,ZA9353,LIM353,Molemole,Molemole,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,16876,15662,14257,14780,11680,9656,7359,5487,5207,4401,3984,3440,3403,2982,2192,1719,1006,1237,125327
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA935,DC35,Capricorn,District Municipality,ZA9354,LIM354,Polokwane,Polokwane,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,90002,82549,72242,88708,90526,80411,64962,45548,39307,33944,28286,21615,19701,13881,11150,6803,3408,4085,797127
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA935,DC35,Capricorn,District Municipality,ZA9355,LIM355,Lepele-Nkumpi,Lepele-Nkumpi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,31307,29415,25611,26013,20600,18803,15145,10866,9442,9212,8488,7056,6883,5617,4495,2762,1504,2163,235380
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA936,DC36,Waterberg,District Municipality,ZA9361,LIM361,Thabazimbi,Thabazimbi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,9865,7220,6310,7305,8647,11323,11512,8554,6252,5790,5215,4032,2104,993,550,348,136,74,96232
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA936,DC36,Waterberg,District Municipality,ZA9362,LIM362,Lephalale,Lephalale,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,16442,11977,11939,11906,15308,18376,13229,9983,7376,6856,5213,4006,2849,1765,1233,900,482,399,140240
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA936,DC36,Waterberg,District Municipality,ZA9366,LIM366,Bela-Bela,Bela-Bela,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,9471,8267,7403,5904,6602,7007,5922,4780,4097,3967,3619,3020,2203,1471,1143,757,442,220,76296
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA936,DC36,Waterberg,District Municipality,ZA9367,LIM367,Mogalakwena,Mogalakwena,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,48845,44324,36727,30040,27313,23831,19055,15231,14415,12891,11902,10137,8960,7152,6004,4263,2052,2149,325291
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA936,DC36,Waterberg,District Municipality,ZA9368,LIM368,Modimolle/Mookgophong,Modimolle/Mookgophong,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,13767,12333,11816,9103,8298,10207,8138,6782,5988,5262,3903,3247,3281,1740,1721,1118,671,324,107699
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA947,DC47,Sekhukhune,District Municipality,ZA9471,LIM471,Ephraim Mogale,Ephraim Mogale,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,15482,14173,12235,16190,14402,11672,9476,5953,4877,4383,3853,3811,3505,2424,2229,1050,593,860,127168
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA947,DC47,Sekhukhune,District Municipality,ZA9472,LIM472,Elias Motsoaledi,Elias Motsoaledi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,31194,30296,28190,34818,29442,25625,19058,12455,9823,9427,8371,7210,7041,5730,4625,2175,1093,1683,268256
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA947,DC47,Sekhukhune,District Municipality,ZA9473,LIM473,Makhuduthamaga,Makhuduthamaga,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,38245,34363,29088,37188,27058,24596,18766,12801,11035,9250,8656,7382,7182,6502,5465,2985,1557,2319,284435
ZA,South Africa,ZA9,LIM,Limpopo,Province,ZA947,DC47,Sekhukhune,District Municipality,ZA9476,LIM476,Greater Tubatse/Fetakgomo,Greater Tubatse/Fetakgomo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,54056,49452,43966,60670,57481,58989,46006,25282,20539,16226,15004,11137,10046,6697,6282,3495,2134,2440,489902
ZA,South Africa,ZA4,FS,Free State,Province,ZA494,MAN,Mangaung,Metropolitan Municipality,ZA4940,MAN,Mangaung,Mangaung,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,80096,79025,75208,66376,78669,73352,62610,54913,47264,42057,33084,28988,24395,17400,12586,5845,3511,2426,787803
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA830,DC30,Gert Sibande,District Municipality,ZA8301,MP301,Chief Albert Luthuli,Chief Albert Luthuli,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,22014,21063,20822,22295,18920,17074,13002,9519,8186,7534,6331,5477,4731,4258,3030,1693,757,926,187629
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA830,DC30,Gert Sibande,District Municipality,ZA8302,MP302,Msukaligwa,Msukaligwa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,17703,14542,13515,15764,17786,19061,15172,11960,9374,7341,6094,5573,3917,2857,2118,890,526,415,164608
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA830,DC30,Gert Sibande,District Municipality,ZA8303,MP303,Mkhondo,Mkhondo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,23319,20721,21431,21269,18951,18535,13003,10363,8843,8191,6341,5438,4198,3052,2302,1568,570,940,189036
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA830,DC30,Gert Sibande,District Municipality,ZA8304,MP304,Dr Pixley Ka Isaka Seme,Dr Pixley Ka Isaka Seme,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,9764,8775,9377,8845,8289,7532,5959,4949,4347,3738,3141,2893,2527,2361,1318,835,409,334,85395
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA830,DC30,Gert Sibande,District Municipality,ZA8305,MP305,Lekwa,Lekwa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,11694,10962,10073,10140,12165,13462,10861,8469,7095,6560,5757,5326,3995,2978,1795,1053,669,363,123419
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA830,DC30,Gert Sibande,District Municipality,ZA8306,MP306,Dipaleseng,Dipaleseng,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,4388,3812,3316,4084,4703,4666,4394,3124,2767,2121,2080,1366,1592,1180,922,373,131,215,45232
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA830,DC30,Gert Sibande,District Municipality,ZA8307,MP307,Govan Mbeki,Govan Mbeki,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,29796,29766,26164,30481,34805,42377,32264,24947,19658,18536,15294,13386,8334,6020,4191,1851,1508,711,340091
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA831,DC31,Nkangala,District Municipality,ZA8311,MP311,Victor Khanye,Victor Khanye,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,8751,7402,6964,7661,8303,9561,7710,6141,5737,3790,3827,2720,2333,1625,887,460,174,108,84151
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA831,DC31,Nkangala,District Municipality,ZA8312,MP312,Emalahleni,Emalahleni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,41447,37494,32439,38277,51728,58828,47422,36063,27514,21722,21869,16077,10524,5958,4246,2095,814,710,455228
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA831,DC31,Nkangala,District Municipality,ZA8313,MP313,Steve Tshwete,Steve Tshwete,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,24671,22353,19577,24635,27885,33526,27479,22879,19290,15910,13472,9869,6893,4206,2794,1627,908,774,278749
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA831,DC31,Nkangala,District Municipality,ZA8314,MP314,Emakhazeni,Emakhazeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,4955,4434,3783,4832,4984,5104,4171,3538,2566,2563,2029,1687,1192,886,729,335,141,220,48149
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA831,DC31,Nkangala,District Municipality,ZA8315,MP315,Thembisile,Thembisile,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,34815,35606,32431,34731,34765,31516,26501,19752,18991,15390,13740,11355,10733,5474,3752,1600,884,1294,333331
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA831,DC31,Nkangala,District Municipality,ZA8316,MP316,Dr JS Moroka,Dr JS Moroka,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,27713,26674,23681,25639,23723,21979,17648,12597,11968,10546,10443,8664,8444,6374,4295,2410,1301,1917,246016
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA832,DC32,Ehlanzeni,District Municipality,ZA8321,MP321,Thaba Chweu,Thaba Chweu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,10174,9284,8782,8453,9013,10313,8929,7413,7138,6517,4293,3759,2945,1769,1454,825,402,432,101895
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA832,DC32,Ehlanzeni,District Municipality,ZA8324,MP324,Nkomazi,Nkomazi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,58284,49565,48386,45766,40554,40442,29325,23523,17297,15579,11813,7986,7447,5210,3868,2720,1531,1611,410907
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA832,DC32,Ehlanzeni,District Municipality,ZA8325,MP325,Bushbuckridge,Bushbuckridge,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,76379,71604,69920,57127,50597,45997,33907,28776,22979,21057,16708,12431,12209,9161,6739,4750,2799,3075,546215
ZA,South Africa,ZA8,MP,Mpumalanga,Province,ZA832,DC32,Ehlanzeni,District Municipality,ZA8326,MP326,Mbombela,Mbombela,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,85923,72926,65309,61880,66850,71191,59846,50515,41096,34214,24740,18449,15670,10413,7754,4318,2476,2343,695913
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA306,DC6,Namakwa,District Municipality,ZA3061,NC061,Richtersveld,Richtersveld,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,883,844,821,1018,1073,1005,1283,946,971,904,878,638,325,477,203,87,89,42,12487
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA306,DC6,Namakwa,District Municipality,ZA3062,NC062,Nama Khoi,Nama Khoi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,3215,3290,3459,3813,3663,4202,3808,3457,3036,3090,2316,2333,1962,1821,1520,987,379,160,46512
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA306,DC6,Namakwa,District Municipality,ZA3064,NC064,Kamiesberg,Kamiesberg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,829,738,656,595,668,806,822,620,674,592,413,653,409,508,313,163,113,34,9605
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA306,DC6,Namakwa,District Municipality,ZA3065,NC065,Hantam,Hantam,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,1736,1710,1774,2006,1689,2087,1225,1533,1273,1305,1359,936,987,679,629,301,187,124,21540
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA306,DC6,Namakwa,District Municipality,ZA3066,NC066,Karoo Hoogland,Karoo Hoogland,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,1031,1036,1187,955,726,1096,899,852,989,995,603,533,679,587,428,89,120,206,13009
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA306,DC6,Namakwa,District Municipality,ZA3067,NC067,KhΓi-Ma,KhΓi-Ma,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,879,865,993,1027,1167,1503,1351,1061,823,612,590,429,272,234,146,266,48,66,12333
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA307,DC7,Pixley ka Seme,District Municipality,ZA3071,NC071,Ubuntu,Ubuntu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,1568,1740,2091,2642,1669,1358,1741,1392,1281,978,774,586,588,458,303,108,67,126,19471
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA307,DC7,Pixley ka Seme,District Municipality,ZA3072,NC072,Umsobomvu,Umsobomvu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,2766,2480,2494,3701,3356,2751,3214,1935,1706,1476,1349,1132,695,879,428,337,79,105,30883
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA307,DC7,Pixley ka Seme,District Municipality,ZA3073,NC073,Emthanjeni,Emthanjeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,4040,3738,4172,5556,4581,4179,3882,2722,2602,2095,2116,1739,1360,1088,713,358,281,181,45404
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA307,DC7,Pixley ka Seme,District Municipality,ZA3074,NC074,Kareeberg,Kareeberg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,1035,1065,871,1298,1428,1008,907,562,722,598,662,774,849,478,242,72,124,76,12772
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA307,DC7,Pixley ka Seme,District Municipality,ZA3075,NC075,Renosterberg,Renosterberg,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,1152,932,1151,1309,1026,1174,956,844,631,561,569,403,385,281,242,113,51,39,11818
ZA,South Africa,ZA3,NC,Nothern Cape,Province,ZA307,DC7,Pixley ka Seme,District Municipality,ZA3076,NC076,Thembelihle,Thembelihle,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,1478,1430,1155,1609,1546,1763,1563,890,983,714,934,619,493,371,308,127,232,16,16230
