level,category,rule,sentiment,updated_at
4,"Mobile & I.T.","Information and Communication Technology services for private and business customers",1,1589195979
4,"Mobile & I.T.","Personal ICT equipment including computers, mobile telephones and home office equipment",1,1589195979
5,"Mobile & I.T.","Restrictions apply to the sale & operation on non-essential Mobile & IT business",0,1589195979
5,"Mobile & I.T.","All telecommunication services and infrastructure",1,1589195979
5,"Mobile & I.T.","Information and Communication Technology services to support essential services only",1,1589195979
5,"Mobile & I.T.","On-line delivery of ICT equipment to facilitate work-from-home arrangements including computers, mobile telephones and other home office equipment",1,1589195979
1,Utilities,"All electricity, gas and water supply",1,1589195979
1,Utilities,"Pre-paid services for electricity and water",1,1589195979
2,Utilities,"All electricity, gas and water supply",1,1589195979
2,Utilities,"Pre-paid services for electricity and water",1,1589195979
3,Utilities,"All electricity, gas and water supply",1,1589195979
3,Utilities,"Pre-paid services for electricity and water",1,1589195979
4,Utilities,"All electricity, gas and water supply",1,1589195979
4,Utilities,"Pre-paid services for electricity and water",1,1589195979
5,Utilities,"All electricity, gas and water supply",1,1589195979
5,Utilities,"Pre-paid services for electricity and water",1,1589195979
1,Security,"Private security services may operate",1,1589195979
2,Security,"Private security services may operate",1,1589195979
3,Security,"Private security services may operate",1,1589195979
4,Security,"Private security services may operate",1,1589195979
5,Security,"Private security services may operate",1,1589195979
1,Medical,"Restrictions apply to dental treatment",0,1589195979
1,Medical,"All medical services (including physiotherapy, chiropractors, biokineticists, occupational therapists and psychologists) are allowed",1,1589195979
1,Medical,"Emergency and restricted dental treatment allowed",1,1589195979
1,Medical,"Health practitioners to ensure personal protective equipment is used to minimise risk of infection",1,1589195979
1,Medical,"Telehealth is permitted and preferably be practiced where there is an existing practioner-patient relationship, and where such a relationship does not exist practitioners may still consult using Telehealth provided such consultations are in the best interest of patients",1,1589195979
2,Medical,"Restrictions apply to dental treatment",0,1589195979
2,Medical,"All medical services (including physiotherapy, chiropractors, biokineticists, occupational therapists and psychologists) are allowed",1,1589195979
2,Medical,"Emergency and restricted dental treatment allowed",1,1589195979
2,Medical,"Health practitioners to ensure personal protective equipment is used to minimise risk of infection",1,1589195979
2,Medical,"Telehealth is permitted and preferably be practiced where there is an existing practioner-patient relationship, and where such a relationship does not exist practitioners may still consult using Telehealth provided such consultations are in the best interest of patients",1,1589195979
3,Medical,"Restrictions apply to dental treatment",0,1589195979
3,Medical,"All medical services (including physiotherapy, chiropractors, biokineticists, occupational therapists and psychologists) are allowed",1,1589195979
3,Medical,"Emergency and restricted dental treatment allowed",1,1589195979
3,Medical,"Health practitioners to ensure personal protective equipment is used to minimise risk of infection",1,1589195979
3,Medical,"Telehealth is permitted and preferably be practiced where there is an existing practioner-patient relationship, and where such a relationship does not exist practitioners may still consult using Telehealth provided such consultations are in the best interest of patients",1,1589195979
4,Medical,"Restrictions apply to dental treatment",0,1589195979
4,Medical,"All medical services (including physiotherapy, chiropractors, biokineticists, occupational therapists and psychologists) are allowed",1,1589195979
4,Medical,"Emergency and restricted dental treatment allowed",1,1589195979
4,Medical,"Health practitioners to ensure personal protective equipment is used to minimise risk of infection",1,1589195979
4,Medical,"Telehealth is permitted and preferably be practiced where there is an existing practioner-patient relationship, and where such a relationship does not exist practitioners may still consult using Telehealth provided such consultations are in the best interest of patients",1,1589195979
5,Medical,"Restrictions apply to dental treatment",0,1589195979
5,Medical,"All medical services (including physiotherapy, chiropractors, biokineticists, occupational therapists and psychologists) are allowed",1,1589195979
5,Medical,"Emergency and restricted dental treatment allowed",1,1589195979
5,Medical,"Health practitioners to ensure personal protective equipment is used to minimise risk of infection",1,1589195979
5,Medical,"Telehealth is permitted and preferably be practiced where there is an existing practioner-patient relationship, and where such a relationship does not exist practitioners may still consult using Telehealth provided such consultations are in the best interest of patients",1,1589195979
1,"Eating Out & Takeaway","Takeaway, delivery and sit-down allowed",1,1589195979
2,"Eating Out & Takeaway","Takeaway, delivery allowed",1,1589195979
2,"Eating Out & Takeaway","Sit-down is forbidden",0,1589195979
3,"Eating Out & Takeaway","Food delivery subject to curfew",1,1589195979
3,"Eating Out & Takeaway","Sit-down is forbidden",1,1589195979
3,"Eating Out & Takeaway","Takeaway is forbidden",1,1589195979
4,"Eating Out & Takeaway","Food delivery subject to curfew",1,1589195979
4,"Eating Out & Takeaway","Sit-down is forbidden",1,1589195979
4,"Eating Out & Takeaway","Takeaway is forbidden",1,1589195979
5,"Eating Out & Takeaway","Takeaway, delivery and sit-down forbidden",0,1589195979
1,Exercise,"Walking, jogging and cycling allowed",1,1589195979
2,Exercise,"Walking, jogging and cycling allowed",1,1589195979
3,Exercise,"Walking, jogging and cycling allowed",1,1589195979
4,Exercise,"Cycling, running and walking is allowed within 5km radius of your home between 6am to 9am",1,1589195979
4,Exercise,"Organised activities forbidden",0,1589195979
4,Exercise,"Gyms forbidden to open",0,1589195979
5,Exercise,"Cycling, running and walking outside of your home is forbidden",0,1589195979
5,Exercise,"Organised activities forbidden",0,1589195979
5,Exercise,"Gyms forbidden to open",0,1589195979
1,Education,"Schools remain closed until 1 June 2020",0,1589195979
1,Education,"Grade 7 and 12 to return from 1 June 2020",1,1589195979
1,Education,"Subject to proper sanitation, use of PPE, santisers, hand washing soap, gloves, cloth masks and thermometers",1,1589195979
1,Education,"Educators and learners to be screened on entry. Those with raised temperature will be considered for isolation",1,1589195979
1,Education,"Physical distancing including no more than two learners sharing desks and no hugging or handshaking",1,1589195979
1,Education,"Schools are expected to sanitise classrooms prior to start of each school day",1,1589195979
1,Education,"Learners to sanitise hands before entering classrooms",1,1589195979
1,Education,"Movement of learners between classes will be limited",1,1589195979
1,Education,"School transport to undergo santisation prior to start of all trips",1,1589195979
1,Education,"Cloth fask masks to be worn by all students and teachers at all times",1,1589195979
1,Education,"All sports matches, choral practices, eisteddfods and festivals will be prohibted",1,1589195979
2,Education,"Schools remain closed until 1 June 2020",0,1589195979
2,Education,"Grade 7 and 12 to return from 1 June 2020",1,1589195979
2,Education,"Subject to proper sanitation, use of PPE, santisers, hand washing soap, gloves, cloth masks and thermometers",1,1589195979
2,Education,"Educators and learners to be screened on entry. Those with raised temperature will be considered for isolation",1,1589195979
2,Education,"Physical distancing including no more than two learners sharing desks and no hugging or handshaking",1,1589195979
2,Education,"Schools are expected to sanitise classrooms prior to start of each school day",1,1589195979
2,Education,"Learners to sanitise hands before entering classrooms",1,1589195979
2,Education,"Movement of learners between classes will be limited",1,1589195979
2,Education,"School transport to undergo santisation prior to start of all trips",1,1589195979
2,Education,"Cloth fask masks to be worn by all students and teachers at all times",1,1589195979
2,Education,"All sports matches, choral practices, eisteddfods and festivals will be prohibted",1,1589195979
3,Education,"Schools remain closed until 1 June 2020",0,1589195979
3,Education,"Grade 7 and 12 to return from 1 June 2020",1,1589195979
3,Education,"Subject to proper sanitation, use of PPE, santisers, hand washing soap, gloves, cloth masks and thermometers",1,1589195979
3,Education,"Educators and learners to be screened on entry. Those with raised temperature will be considered for isolation",1,1589195979
3,Education,"Physical distancing including no more than two learners sharing desks and no hugging or handshaking",1,1589195979
3,Education,"Schools are expected to sanitise classrooms prior to start of each school day",1,1589195979
3,Education,"Learners to sanitise hands before entering classrooms",1,1589195979
3,Education,"Movement of learners between classes will be limited",1,1589195979
3,Education,"School transport to undergo santisation prior to start of all trips",1,1589195979
3,Education,"Cloth fask masks to be worn by all students and teachers at all times",1,1589195979
3,Education,"All sports matches, choral practices, eisteddfods and festivals will be prohibted",1,1589195979
4,Education,"Schools remain closed until 1 June 2020",0,1589195979
4,Education,"Grade 7 and 12 to return from 1 June 2020",1,1589195979
4,Education,"Subject to proper sanitation, use of PPE, santisers, hand washing soap, gloves, cloth masks and thermometers",1,1589195979
4,Education,"Educators and learners to be screened on entry. Those with raised temperature will be considered for isolation",1,1589195979
4,Education,"Physical distancing including no more than two learners sharing desks and no hugging or handshaking",1,1589195979
4,Education,"Schools are expected to sanitise classrooms prior to start of each school day",1,1589195979
4,Education,"Learners to sanitise hands before entering classrooms",1,1589195979
4,Education,"Movement of learners between classes will be limited",1,1589195979
4,Education,"School transport to undergo santisation prior to start of all trips",1,1589195979
4,Education,"Cloth fask masks to be worn by all students and teachers at all times",1,1589195979
4,Education,"All sports matches, choral practices, eisteddfods and festivals will be prohibted",1,1589195979
5,Education,"Schools, Colleges and Universities remain closed",0,1589195979
1,Movement,"Restrictions to international travel may apply",0,1589195979
1,Movement,"International and domestic air travel is allowed",1,1589195979
1,Movement,"Interprovincial movement allowed",1,1589195979
1,Movement,"No curfew",1,1589195979
2,Movement,"Restrictions on international travel apply",0,1589195979
2,Movement,"Recreation movement is not allowed",0,1589195979
2,Movement,"Restrictions apply when moving into provinces at Level 3 or above",0,1589195979
2,Movement,"Limited domestic air travel is allowed",1,1589195979
2,Movement,"Movement between provinces which are at Level 1 or 2 is allowed",1,1589195979
2,Movement,"Stay at home, other than essential travel for work, purchase essential goods, seek medical care",1,1589195979
2,Movement,"Daily commute between neighbouring provinces is permitted (court order required)",1,1589195979
2,Movement,"Walking, running and cycling permitted (guidelines to be advised)",1,1589195979
2,Movement,"Curfew in place between 8pm and 5am",1,1589195979
3,Movement,"Restrictions on international and domestic travel apply",0,1589195979
3,Movement,"Recreation movement is not allowed",0,1589195979
3,Movement,"Movement between provinces and districts is restricted (except those with permit to perform essential services or attend funeral)",0,1589195979
3,Movement,"Stay at home, other than essential travel for work, purchase essential goods, seek medical care",1,1589195979
3,Movement,"Daily commute between neighbouring provinces is permitted (court order required)",1,1589195979
3,Movement,"Once-off travel concession to move between provinces for persons (including children) to return to primary residence",1,1589195979
3,Movement,"Movement of children between parents/caregivers (including interprovincial) is permitted (court order required)",1,1589195979
3,Movement,"Walking, running and cycling permitted (guidelines to be advised)",1,1589195979
3,Movement,"Curfew in place between 8pm and 5am",1,1589195979
4,Movement,"Restrictions on international and domestic travel apply",0,1589195979
4,Movement,"Recreation movement is not allowed",0,1589195979
4,Movement,"Movement between provinces and districts is restricted (except those with permit to perform essential services or attend funeral)",0,1589195979
4,Movement,"Stay at home, other than essential travel for work, purchase essential goods, seek medical care",1,1589195979
4,Movement,"Daily commute between neighbouring provinces is permitted (court order required)",1,1589195979
4,Movement,"Once-off travel concession to move between provinces for persons (including children) to return to primary residence",1,1589195979
4,Movement,"Movement of children between parents/caregivers (including interprovincial) is permitted (court order required)",1,1589195979
4,Movement,"Walking, running and cycling allowed within a 5km radius, between 6am and 9am",1,1589195979
4,Movement,"Curfew in place between 8pm and 5am",1,1589195979
5,Movement,"Restrictions on international and domestic travel apply",0,1589195979
5,Movement,"Recreation movement is not allowed",0,1589195979
5,Movement,"Movement between provinces and districts is restricted (except those with permit to perform essential services or attend funeral)",0,1589195979
5,Movement,"Stay at home, other than essential travel for work, purchase essential goods, seek medical care",1,1589195979
5,Movement,"Interprovincial travel only permitted under exceptional circumstances with necessary permit (e.g. funeral)",1,1589195979
1,Repairs,"All repair and related emergency services allowed",1,1589195979
2,Repairs,"Restrictions apply to general repairs",0,1589195979
2,Repairs,"Tow trucks and vehicle recovery services",1,1589195979
2,Repairs,"All repair work, including plumbers, electricians, locksmiths, glaziers, roof repair work",1,1589195979
2,Repairs,"All automobile repairs",1,1589195979
3,Repairs,"Non-essential repairs are not allowed",0,1589195979
3,Repairs,"Tow trucks and vehicle recovery services",1,1589195979
3,Repairs,"Emergency repair work, including plumbers, electricians, locksmiths, glaziers, roof repair work",1,1589195979
3,Repairs,"Emergency automobile repairs for all persons",1,1589195979
4,Repairs,"Non-essential repairs are not allowed",0,1589195979
4,Repairs,"Tow trucks and vehicle recovery services",1,1589195979
4,Repairs,"Emergency repair work, including plumbers, electricians, locksmiths, glaziers, roof repair work",1,1589195979
4,Repairs,"Emergency automobile repairs for all persons",1,1589195979
5,Repairs,"Non-essential repairs are not allowed",0,1589195979
5,Repairs,"Tow trucks and vehicle recovery services",1,1589195979
5,Repairs,"Emergency repair work, including plumbers, electricians, locksmiths, glaziers, roof repair work",1,1589195979
5,Repairs,"Emergency automobile repairs for all persons",1,1589195979
1,"Hair & Beauty","Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
1,"Hair & Beauty","Full range of beauty products allowed for sale (e.g. cosmetics)",1,1589195979
1,"Hair & Beauty","Other personal services like hair salons, spas and beauticians allowed, subject to directions",1,1589195979
2,"Hair & Beauty","Restriction on sale of certain beauty products (e.g. luxury cosmetics)",0,1589195979
2,"Hair & Beauty","Hair salons, spas and beauticians not allowed",0,1589195979
2,"Hair & Beauty","Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
3,"Hair & Beauty","Restriction on sale of certain beauty products (e.g. luxury cosmetics)",0,1589195979
3,"Hair & Beauty","Hair salons, spas and beauticians not allowed",0,1589195979
3,"Hair & Beauty","Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
4,"Hair & Beauty","Restriction on sale of certain beauty products (e.g. luxury cosmetics)",0,1589195979
4,"Hair & Beauty","Hair salons, spas and beauticians not allowed",0,1589195979
4,"Hair & Beauty","Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
5,"Hair & Beauty","Restriction on sale of certain beauty products (e.g. luxury cosmetics)",0,1589195979
5,"Hair & Beauty","Hair salons, spas and beauticians not allowed",0,1589195979
5,"Hair & Beauty","Personal toiletries, including haircare, body and face care products, roll-ons, deodorants, and dental care products",1,1589195979
1,Pets,"Dog walking allowed (in accordance with guidelines)",1,1589195979
1,Pets,"Pet food, accessories, health products and treats",1,1589195979
1,Pets,"Veterinary services allowed",1,1589195979
1,Pets,"Pet grooming - restrictions may apply, awaiting final guidelines from government",1,1589195979
2,Pets,"Dog walking allowed (in accordance with guidelines)",1,1589195979
2,Pets,"Pet food, accessories, health products and treats",1,1589195979
2,Pets,"Veterinary services allowed - restrictions may apply",1,1589195979
2,Pets,"Pet grooming - restrictions may apply, awaiting final guidelines from government",1,1589195979
3,Pets,"Pet grooming services may not be allowed. Awaiting official guidance from government.",0,1589195979
3,Pets,"Dog walking allowed (in accordance with guidelines)",1,1589195979
3,Pets,"Pet food, accessories, health products and treats",1,1589195979
3,Pets,"Veterinary services allowed - restrictions may apply",1,1589195979
4,Pets,"Pet grooming services not allowed",0,1589195979
4,Pets,"Animal hospitals, clinics, vetshops and petshops may not sell non-essential goods",0,1589195979
4,Pets,"Wellness visits to be postponed",0,1589195979
4,Pets,"All clinical and surgical interventions that do not pose harm to the animal's health and welfare must be postponed",0,1589195979
4,Pets,"Routine vaccination can be postponed if the owner is able to manage the animal to minimise the risk of exposure until the animal can be vaccinated",0,1589195979
4,Pets,"Routine diagnostic monitoring and testing should be postponed unless there are valid reasons that a delay would compromise the health and welfare of the animal",0,1589195979
4,Pets,"Boarding, day care, grooming and other ancillary services",0,1589195979
4,Pets,"Sterilisations, dehorning and other related procedures to be postponed unless non-performance may affect the health and welfare of the animal",0,1589195979
4,Pets,"Routine post mortems must be postponed",0,1589195979
4,Pets,"Dog walking allowed (in accordance with guidelines)",1,1589195979
4,Pets,"Pet food, accessories, health products and treats",1,1589195979
4,Pets,"Selected veterinary services, conditions apply:",1,1589195979
4,Pets,"Treatment of sick and injured animals that cannot be postponed",1,1589195979
4,Pets,"Minimum number of assistants should remain available",1,1589195979
4,Pets,"Adminster boosters of vaccine series that have started if deemed necessary based on animal's condition and circumstances (e.g. risk of exposure)",1,1589195979
4,Pets,"Control of parasites must be limited to instanced where the delays to provide treatment may negatively affect the health and welfare of animals",1,1589195979
4,Pets,"Routine services including post-operative check-ups must be provided through telemedicine",1,1589195979
4,Pets,"Sterilisations, dehorning and other related procedures under emergency situations",1,1589195979
4,Pets,"Post mortems which necessitate urgent diagnosis to prevent spread of disease or high morbidities and mortalities may be performed",1,1589195979
4,Pets,"Maintaining productivity of dairy animals e.g. interventions to support breeding cycle and udder health of dairy animals may continue",1,1589195979
4,Pets,"Services relating to control of animal diseases may be implemented, subject to directions",1,1589195979
4,Pets,"Veterinary diagnostic services for animal diseases and food safety to continue",1,1589195979
4,Pets,"Veterinarians are required to wear proper personal protective equipment (PPE) at all times",1,1589195979
4,Pets,"Drop offs of medicines and usage of e-commerce must be implemented to reduce human physical interaction",1,1589195979
5,Pets,"Dog walking not allowed",0,1589195979
5,Pets,"Pet grooming services not allowed",0,1589195979
5,Pets,"Animal hospitals, clinics, vetshops and petshops may not sell non-essential goods",0,1589195979
5,Pets,"Wellness visits to be postponed",0,1589195979
5,Pets,"All clinical and surgical interventions that do not pose harm to the animal's health and welfare must be postponed",0,1589195979
5,Pets,"Routine vaccination can be postponed if the owner is able to manage the animal to minimise the risk of exposure until the animal can be vaccinated",0,1589195979
5,Pets,"Routine diagnostic monitoring and testing should be postponed unless there are valid reasons that a delay would compromise the health and welfare of the animal",0,1589195979
5,Pets,"Boarding, day care, grooming and other ancillary services",0,1589195979
5,Pets,"Sterilisations, dehorning and other related procedures to be postponed unless non-performance may affect the health and welfare of the animal",0,1589195979
5,Pets,"Routine post mortems must be postponed",0,1589195979
5,Pets,"Pet food, accessories, health products and treats",1,1589195979
5,Pets,"Selected veterinary services, conditions apply:",1,1589195979
5,Pets,"Treatment of sick and injured animals that cannot be postponed",1,1589195979
5,Pets,"Minimum number of assistants should remain available",1,1589195979
5,Pets,"Adminster boosters of vaccine series that have started if deemed necessary based on animal's condition and circumstances (e.g. risk of exposure)",1,1589195979
5,Pets,"Control of parasites must be limited to instanced where the delays to provide treatment may negatively affect the health and welfare of animals",1,1589195979
5,Pets,"Routine services including post-operative check-ups must be provided through telemedicine",1,1589195979
5,Pets,"Sterilisations, dehorning and other related procedures under emergency situations",1,1589195979
5,Pets,"Post mortems which necessitate urgent diagnosis to prevent spread of disease or high morbidities and mortalities may be performed",1,1589195979
5,Pets,"Maintaining productivity of dairy animals e.g. interventions to support breeding cycle and udder health of dairy animals may continue",1,1589195979
5,Pets,"Services relating to control of animal diseases may be implemented, subject to directions",1,1589195979
5,Pets,"Veterinary diagnostic services for animal diseases and food safety to continue",1,1589195979
5,Pets,"Veterinarians are required to wear proper personal protective equipment (PPE) at all times",1,1589195979
5,Pets,"Drop offs of medicines and usage of e-commerce must be implemented to reduce human physical interaction",1,1589195979
1,"Domestic Help","All private household employment allowed",1,1589195979
2,"Domestic Help","All private household employment allowed",1,1589195979
3,"Domestic Help","General private household employment not allowed (except live-in staff)",0,1589195979
3,"Domestic Help","Live-in staff",1,1589195979
3,"Domestic Help","Domestic staff that are supporting those permitted to work under level 3",1,1589195979
3,"Domestic Help","Staff providing care to vulnerable people (sick, mentally ill, elderly, people with disabilities and children)",1,1589195979
3,"Domestic Help","Gardening and swimming pool services",1,1589195979
4,"Domestic Help","General private household employment not allowed (except live-in staff)",0,1589195979
4,"Domestic Help","Live-in staff",1,1589195979
4,"Domestic Help","Domestic staff that are supporting those permitted to work under level 4.",1,1589195979
4,"Domestic Help","Staff providing care to vulnerable people (sick, mentally ill, elderly, people with disabilities and children)",1,1589195979
5,"Domestic Help","No private household employment allowed (except live-in staff)",0,1589195979
5,"Domestic Help","Live-in staff",1,1589195979
5,"Domestic Help","Staff providing care to vulnerable people (sick, mentally ill, elderly, people with disabilities and children)",1,1589195979
1,Transport,"All air travel allowed",1,1589195979
1,Transport,"All ocean transport allowed",1,1589195979
1,Transport,"Public rail, minibus taxi and bus services will resume, subject to restrictions on capacity and times",1,1589195979
1,Transport,"E-hailing services subject to restrictions on capacity and times; and for permitted activities only",1,1589195979
1,Transport,"Transport and logistics in respect of specified cargo, and permitted retail goods to neighbouring countries, which shall include all goods imported via SA ports of entry, for re-export to neighbouring countries",1,1589195979
1,Transport,"Essential imported goods will be prioritised through ports of entry and for transport and handling to final users. Directions will be issued in respect of other goods.",1,1589195979
1,Transport,"Social distancing when using public and private transport, as per transport guidelines",1,1589195979
1,Transport,"Mandatory use of cloth masks (including home-made ones to cover nose and mouth) and ensure hand hygiene when in public",1,1589195979
2,Transport,"No International passenger air travel except under exceptional circumstances",0,1589195979
2,Transport,"Limited domestic air travel (restricted flights per day and authorised based on reason for travel and subject to ports of entry arrangements)",1,1589195979
2,Transport,"Public rail, minibus taxi and bus services will resume, subject to restrictions on capacity and times",1,1589195979
2,Transport,"E-hailing services subject to restrictions on capacity and times; and for permitted activities only",1,1589195979
2,Transport,"Transport and logistics in respect of specified cargo, and permitted retail goods to neighbouring countries, which shall include all goods imported via SA ports of entry, for re-export to neighbouring countries",1,1589195979
2,Transport,"Ocean and air transport permitted only for the shipment of cargo",1,1589195979
2,Transport,"Essential imported goods will be prioritised through ports of entry and for transport and handling to final users. Directions will be issued in respect of other goods.",1,1589195979
2,Transport,"Social distancing when using public and private transport, as per transport guidelines",1,1589195979
2,Transport,"Mandatory use of cloth masks (including home-made ones to cover nose and mouth) and ensure hand hygiene when in public",1,1589195979
3,Transport,"No International passenger air travel except under exceptional circumstances",0,1589195979
3,Transport,"Limited domestic air travel (restricted flights per day and authorised based on reason for travel and subject to ports of entry arrangements)",1,1589195979
