date,YYYYMMDD,fezile_dabi,lejweleputswa,mangaung,xhariep,thabo_mofutsanyana,total,Recoveries,Deaths,source
22-07-2020,20200722,2138,3361,4648,452,1708,12332,1821,62,FS DOH Direct
23-07-2020,20200723,2248,3689,5108,484,1895,13443,1873,63,FS DOH Direct
24-07-2020,20200724,2436,4034,5554,499,2010,14542,2064,63,FS DOH Direct
25-07-2020,20200725,2576,4300,5924,537,2172,15512,2075,147,FS DOH Direct
26-07-2020,20200726,2717,4597,6244,556,2366,16482,2087,154,FS DOH Direct
27-07-2020,20200727,2847,4768,6496,561,2549,17222,2178,165,FS DOH Direct
28-07-2020,20200728,2921,4947,6904,598,2764,18134,4034,182,FS DOH Direct
29-07-2020,20200729,3024,5199,7413,641,2917,19207,6277,186,FS DOH Direct
30-07-2020,20200730,3246,5485,7780,680,3187,20398,7063,205,FS DOH Direct
31-07-2020,20200731,3367,5686,8166,708,3312,21262,8897,212,FS DOH Direct
01-08-2020,20200801,3528,5936,8584,732,3500,22308,8897,223,FS DOH Direct
02-08-2020,20200802,3665,6131,8930,755,3591,23099,10149,243,FS DOH Direct
03-08-2020,20200803,3726,6280,9208,780,3686,23705,10582,277,FS DOH Direct
04-08-2020,20200804,3842,6394,9481,808,3776,24333,10582,327,FS DOH Direct
05-08-2020,20200805,3930,6601,9877,867,3928,25232,11575,350,FS DOH Direct
06-08-2020,20200806,4067,6820,10198,906,4089,26123,11832,362,FS DOH Direct
07-08-2020,20200807,4164,6946,10543,938,4271,26877,12155,381,FS DOH Direct
08-08-2020,20200808,4285,7091,10916,967,4459,27742,12642,401,FS DOH Direct
09-08-2020,20200809,4365,7213,11115,1004,4645,28370,13039,410,FS DOH Direct
10-08-2020,20200810,4438,7309,11334,1037,4763,28909,13478,414,FS DOH Direct
11-08-2020,20200811,4458,7354,11496,1048,4814,29209,14522,433,FS DOH Direct
12-08-2020,20200812,4479,7375,11761,1054,4866,29578,14911,450,FS DOH Direct
13-08-2020,20200813,4528,7531,11949,1066,4924,30049,15217,476,FS DOH Direct
14-08-2020,20200814,4616,7650,12375,1097,5061,30837,15819,497,FS DOH Direct
15-08-2020,20200815,4708,7737,12675,1139,5172,31465,15819,513,FS DOH Direct
16-08-2020,20200816,4757,7794,12832,1169,5278,31870,17000,519,FS DOH Direct
17-08-2020,20200817,4807,7869,13030,1197,5360,32304,17547,524,FS DOH Direct
18-08-2020,20200818,4815,7903,13236,1221,5412,32593,19548,537,FS DOH Direct
19-08-2020,20200819,4885,8033,13510,1234,5498,33163,19779,542,FS DOH Direct
20-08-2020,20200820,4948,8140,13711,1270,5589,33665,20443,567,FS DOH Direct
21-08-2020,20200821,4985,8211,13932,1288,5717,34136,20641,582,FS DOH Direct
22-08-2020,20200822,5033,8319,14164,1316,5789,34621,20678,596,FS DOH Direct
23-08-2020,20200823,5083,8367,14318,1347,5859,34980,20786,600,FS DOH Direct
24-08-2020,20200824,5106,8420,14447,1403,5972,35367,21174,624,FS DOH Direct
25-08-2020,20200825,5114,8440,14619,1421,6009,35603,22740,631,FS DOH Direct
26-08-2020,20200826,5155,8519,14772,1431,6089,35980,22829,646,FS DOH Direct
27-08-2020,20200827,5197,8597,14985,1477,6161,36419,23031,679,FS DOH Direct
28-08-2020,20200828,5218,8650,15154,1491,6229,36742,23047,684,FS DOH Direct
29-08-2020,20200829,5260,8714,15343,1515,6324,37157,23092,690,FS DOH Direct
30-08-2020,20200830,5298,8755,15569,1539,6389,37557,23180,693,FS DOH Direct
31-08-2020,20200831,5319,8812,15729,1563,6461,37888,24464,709,FS DOH Direct
01-09-2020,20200901,5326,8825,15892,1603,6477,38125,25999,716,FS DOH Direct
02-09-2020,20200902,5367,8886,16060,1609,6547,38473,26056,731,FS DOH Direct
03-09-2020,20200903,5404,8942,16255,1651,6617,38869,26056,739,FS DOH Direct
04-09-2020,20200904,5436,8994,16427,1673,6661,39192,26056,757,FS DOH Direct
05-09-2020,20200905,5461,9050,16569,1691,6712,39486,26572,776,FS DOH Direct
06-09-2020,20200906,5483,9092,16707,1715,6778,39781,2698,785,FS DOH Direct
07-09-2020,20200907,5488,9102,16822,1757,6817,39986,26988,792,FS DOH Direct
08-09-2020,20200908,5490,9114,16949,1766,6834,40154,27104,798,FS DOH Direct
09-09-2020,20200909,5514,9176,17104,1781,6880,40456,27229,806,FS DOH Direct
10-09-2020,20200910,5542,9232,17311,1801,6946,40832,27516,810,FS DOH Direct
11-09-2020,20200911,5563,9300,17527,1839,7021,41250,27590,812,FS DOH Direct
12-09-2020,20200912,5588,9346,1730,1860,7079,41604,27606,817,FS DOH Direct
13-09-2020,20200913,5625,9383,17852,1881,7133,41875,27678,817,FS DOH Direct
14-09-2020,20200914,5630,9413,17978,1914,7185,42120,28452,838,FS DOH Direct
15-09-2020,20200915,5632,9440,18071,1917,7195,42255,28586,882,FS DOH Direct
16-09-2020,20200916,5662,9500,18257,1931,7251,42602,28759,901,FS DOH Direct
17-09-2020,20200917,5704,9574,18471,1958,7331,43041,28934,912,FS DOH Direct
18-09-2020,20200918,5731,9633,18656,1989,7366,42275,29019,920,FS DOH Direct
19-09-2020,20200919,5749,9674,18888,2018,7436,43776,29049,933,FS DOH Direct
20-09-2020,20200920,5778,9711,19019,2052,7467,44037,29093,943,FS DOH Direct
21-09-2020,20200921,5786,9735,19135,2089,7535,44291,29283,948,FS DOH Direct
22-09-2020,20200922,5795,9814,19290,2130,7571,44616,29445,964,FS DOH Direct
23-09-2020,20200923,5824,9865,19471,2170,7612,44943,29778,969,FS DOH Direct
24-09-2020,20200924,5850,9920,19710,2210,7660,45353,31288,972,FS DOH Direct
25-09-2020,20200925,5868,9973,19879,2230,7707,45678,31568,992,FS DOH Direct
26-09-2020,20200926,5870,10006,20025,2239,7734,45877,31602,1007,FS DOH Direct
27-09-2020,20200927,5895,10053,20132,2278,7770,46128,31641,1008,FS DOH Direct
28-09-2020,20200928,5911,10084,20222,2324,7808,46349,31949,1016,FS DOH Direct
29-09-2020,20200929,5916,10127,20371,2330,7813,46558,33017,1021,FS DOH Direct
30-09-2020,20200930,5942,10172,20644,2344,7844,46947,33019,1028,FS DOH Direct
01-10-2020,20201001,5965,10209,20844,2371,7926,47316,33133,1042,FS DOH Direct
02-10-2020,20201002,5980,10256,21049,2392,7999,47676,33638,1051,FS DOH Direct
03-10-2020,20201003,6006,10328,21285,2429,8040,48088,34579,1059,FS DOH Direct
04-10-2020,20201004,6022,10398,21450,2450,8079,48403,34808,1059,FS DOH Direct
05-10-2020,20201005,6033,10425,21561,2509,8134,48662,34790,1073,FS DOH Direct
06-10-2020,20201006,6039,10448,21712,2518,8148,48865,35195,1073,FS DOH Direct
07-10-2020,20201007,6080,10502,21956,2531,8201,49270,35271,1084,FS DOH Direct
08-10-2020,20201008,6116,10550,22174,2577,8266,49683,35417,1090,FS DOH Direct

