Name,Long,Lat,Category,Province,District,Subdistrict,Uses DATCOV19 surveillance online platform,Main Health care Services Offered,Size,Beds Usable,Beds Approved,Beds Surgical Usable,Beds Surgical Approved,Surgeons Qualified,Surgeons_unqualified,Theatres,Total number of beds,Total number of staff,Cluster,Webpage,Geo_subdivision,Is Vaccination site
Livingstone Hospital,25.57074,-33.9251,Tertiary Hospital,Eastern Cape,Nelson Mandela Bay Municipality,Nelson Mandela C Health sub-District,YES,"Emergency Department, the Paediatric, the Out Patients Department, Surgical Services, Medical Services, Operating Theatre & CSSD Services, a Pharmacy, Anti-Retroviral (ARV) treatment for HIV/AIDS Wellness Clinic/ID clinic, Post Trauma Counseling Services, Occupational Services, X-Ray Services, Occupational Therapy, Physiotherapy, Speech Therapy, NHLS Laboratory, Oral Health Care Provides Maxillofacial Facial, Laundry Services, Kitchen Services and a Mortuary.",,583,616,180,180,11,22,8,,,,https://www.mylivingstonhospital.com/our-services,ZA-EC,YES
Basambilu Med Centre,28.19,-26.01,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Diepsloot Med Centre,28.01873,-25.9205,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Beaufort West Hospital,22.5949,-32.3529,District Hospital,Western Cape,Central Karoo District Municipality,Beaufort West Local Municipality,YES,In-patient and ambulatory health services as well as emergency health services.,,57,,6,6,,5,2,,,,http://doctors-hospitals-medical-cape-town-south-africa.blaauwberg.net/hospitals_clinics_state_hospitals/state_public_hospitals_clinics_western_cape_south_africa/beaufort_west_hospital_beaufort_west_western_cape_south_africa,ZA-WC,
Mediwell Dainfern Square Med Centre,28.013146,-25.9929,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediwell.co.za/,ZA-GP,
Netcare Sunninghill Hospital,28.06941,-26.0384,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,265,,90,,,,6,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Sunninghill-Hospital,ZA-GP,
Phedisong Health Care,28.240658,-25.9984,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Tanganani Health Care,28.011625,-25.9293,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://bophelong-medical-and-dental-centre.business.site/,ZA-GP,
Life Riverfield Lodge Hospital,27.962992,-25.9451,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-riverfield-lodge/,ZA-GP,
Mediclinic Sandton Hospital,28.01204,-26.0772,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,379,,114,,,,10,,,,https://www.mediclinic.co.za/en/sandton/home.html,ZA-GP,
Netcare Milpark Hospital,28.01725,-26.1797,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,346,,155,,,,13,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Milpark-Hospital,ZA-GP,
Netcare Rehab Hospital,28.01224,-26.1885,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.netcarehospitals.co.za/Hospital/netcare-rehabilitation-hospital,ZA-GP,
Netcare Rosebank Hospital,28.03924,-26.1462,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,128,,55,,,,6,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Rosebank-Hospital,ZA-GP,
Netcare Sports Med and Ortho Hospital,28.03962,-26.1461,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://sportsortho.co.za/,ZA-GP,
NHN Akeso Crescent Randburg Hospital,27.958773,-26.0881,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg B Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.akeso.co.za/,ZA-GP,
Clinix Dr SK Matseke Mem Hospital,27.87435,-26.2055,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.clinix.co.za/dr-sk-matseke-memorial-hospital,ZA-GP,
Clinix Tshepo-Themba Private Hospital,27.873921,-26.2059,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,120,,28,,,,3,,,,https://www.clinix.co.za/tshepo-themba,ZA-GP,
Life Flora Hospital,27.920641,-26.1516,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,316,,112,,,,10,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-flora-hospital/,ZA-GP,
Lifemed Hospital,27.93667,-26.2011,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Life Wilgeheuwel Hospital,27.92435,-26.0995,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,220,,93,,,,7,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-wilgeheuwel-hospital/,ZA-GP,
Mayo Hospital,27.92086,-26.1504,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,,Relevant Private Facility services – visit their website for more details,,20,,20,,,,2,,,,https://www.mayoclinic.org/,ZA-GP,
Netcare Constantia Day Clinic,27.900218,-26.1476,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,24,,24,,,,3,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Constantia-Clinic,ZA-GP,
Netcare Olivedale Hospital,27.972147,-26.0548,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg C Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,265,,166,,,,10,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Olivedale-Hospital,ZA-GP,
Netcare Protea Day Clinic,27.777968,-26.106659,Private Hospital,Gauteng,West Rand District Municipality,Mogale City Local Municipality,YES,Relevant Private Facility services – visit their website for more details,,10,,10,,,,2,,,,https://www.netcare.co.za/Netcare-hospitals,ZA-GP,
Advanced Medgate Day Hospital,27.867123,-26.138,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://www.advancedhealth.co.za/medgate-day-clinic/,ZA-GP,
Lesedi Clinix Private Hospital,27.935847,-26.2581,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,175,,26,,,,4,,,,https://www.clinix.co.za/,ZA-GP,
Life Poortview Hospital,27.851671,-26.0897,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg D Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/roodepoort/life-poortview/,ZA-GP,
Life Pretoria North Surgical Centre,28.171361,-25.675421,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,12,,12,,,,2,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/pretoria/life-pretoria-north-surgical-centre/,ZA-GP,
Life Carstenhof Hospital,28.139385,-26.0309,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,153,,56,,,,6,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/johannesburg/life-carstenhof-hospital/,ZA-GP,
Mediclinic Morningside Hospital,28.05595,-26.0956,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,230,,62,,,,8,,,,https://www.mediclinic.co.za/en/morningside/home.html,ZA-GP,
Midrand Med Centre,28.129635,-25.9958,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.midrandmedicalcentre.net/,ZA-GP,
Netcare Linksfield Park Hospital,28.0954,-26.1594,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,283,,107,,,,10,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Linksfield-Hospital,ZA-GP,
Prime Cure Bagleyston Day Clinic,28.0866,-26.1513,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg E Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Cure Day clinic Midstream,28.190971,-25.922757,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,20,,20,,,,2,,,,https://cure.co.za/cure-midstream/,ZA-GP,
Argyle Hospital,28.0434,-26.1929,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Life Sandton Surgical Centre,28.063306,-26.078861,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg A Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,20,,20,,,,3,,,,,ZA-GP,
Clinix Solomon Stix Morewa Mem Hospital (Selby Park),28.04278,-26.2208,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,"Physical rehabilitation, Physiotherapy, Occupational Therapy, Psychology, Speech Therapy, Dietary,Psychiatry and Occupational Services , Social Support and Medical support",,642,,55,,,,5,,,,https://www.clinix.co.za/solomon-stix-morewa-memorial,ZA-GP,
Clinix GM Pitje Day Hospital,28.035152,-26.124564,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,37,,,,,,,,,,https://www.clinix.co.za/gm-pitje-day-hospital,ZA-GP,
Fordsburg Hospital,28.02157,-26.2099,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,,Relevant Private Facility services – visit their website for more details,,30,,30,,,,4,,,,http://fordsburgclinic.co.za/,ZA-GP,
Life Brenthurst Hospital,28.0466,-26.1842,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,233,,60,,,,8,,,,,ZA-GP,
Netcare Garden City Hospital,28.006889,-26.1973,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,363,,104,,,,12,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Garden-City-Hospital,ZA-GP,
Netcare Mulbarton Hospital,28.05302,-26.298,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,216,,70,,,,5,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Mulbarton-Hospital,ZA-GP,
Netcare Park Lane Hospital,28.04638,-26.1821,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,204,,40,,,,11,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Park-Lane-Hospital,ZA-GP,
Netcare Rand Hospital,28.04998,-26.1852,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg F Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,144,,50,,,,5,,,,https://www.saprivatehospitals.com/gauteng/rand-hospital-netcare-in-johannesburg-gauteng/,ZA-GP,
NHN Lenmed Ahmed Katrada Private Hospital,27.86371,-26.3278,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg G Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,254,,,,,,,,,,https://www.lenmed.co.za/hospital/ahmed-kathrada-private-hospital-lenmed/,ZA-GP,
Lenmed Clinic Hospital,27.863505,-26.327091,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg G Health sub-District,YES,Relevant Private Facility services – visit their website for more details,,192,,72,,,,5,,,,,,
NHN Lenmed Daxina Hospital,27.841045,-26.3818,Private Hospital,Gauteng,City of Johannesburg Metropolitan Municipality,Johannesburg G Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.lenmed.co.za/hospital/daxina-private-hospital-lenmed/,ZA-GP,
Mediclinic Legae Hospital,28.03835,-25.5251,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,147,,38,,,,4,,,,https://www.mediclinic.co.za/en/legae/home.html,ZA-GP,
Netcare Akasia Hospital,28.10867,-25.6742,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 HealthSub-District,YES,Relevant Private Facility services – visit their website for more details,,162,,52,,,,5,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Akasia-Hospital,ZA-GP,
Wisani Med Centre Hospital,27.97686,-25.6115,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 1 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,12,,0,,,,0,,,,,ZA-GP,
Life Little Company of Mary Hospital,28.216357,-25.77161,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,214,,85,,,,8,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/pretoria/life-groenkloof-hospital/,ZA-GP,
Netcare Montana Hospital,28.24418,-25.6752,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 2 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,170,,60,,,,6,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Montana-Hospital,ZA-GP,
Astrid Hospital,28.209688,-25.7475,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Curamed Hospital,28.203429,-25.7551,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Life Eugene Marais Hospital,28.193922,-25.71,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,364,,129,,,,13,,,,https://www.lifehealthcare.co.za/hospitals/gauteng/pretoria/life-eugene-marais-hospital/,ZA-GP,
Life Groenkloof Hospital,28.2164,-25.7715,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Louis Pasteur Hospital,28.19666,-25.7485,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,240,,34,,,,5,,,,https://www.louispasteur.co.za/,ZA-GP,
Pretoria Gynae Hospital,28.20565,-25.7562,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://www.mediclinic.co.za/en/gynaecological-hospital/home.html,ZA-GP,
Mediclinic Heart Hospital,28.20677,-25.7491,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,90,,20,,,,3,,,,https://www.mediclinic.co.za/en/heart-hospital/home.html,ZA-GP,
Mediclinic Medforum Hospital,28.199664,-25.7468,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,204,,52,,,,14,,,,https://www.mediclinic.co.za/en/medforum/home.html,ZA-GP,
Mediclinic Muelmed Hospital,28.20768,-25.7469,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,222,,48,,,,8,,,,https://www.mediclinic.co.za/en/muelmed/home.html,ZA-GP,
Netcare Bougainville Hospital,28.1535,-25.7152,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,60,,36,,,,3,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Bougainville-Hospital,ZA-GP,
Netcare Femina Hospital,28.20037,-25.7401,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,134,,25,,,,5,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Femina-Hospital,ZA-GP,
Netcare Jakaranda Hospital,28.21182,-25.7595,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,130,,30,,,,6,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Jakaranda-Hospital,ZA-GP,
Netcare Moot Hospital,28.21779,-25.7137,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,92,,30,,,,3,,,,https://www.netcarehospitals.co.za/Hospital/Netcare-Moot-Hospital,ZA-GP,
Pretoria Eye Inst Hospital,28.21113,-25.7474,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,http://www.eyeinstitute.co.za/,ZA-GP,
Pretoria Urology Hospital,28.23775,-25.744,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,https://urology.co.za/,ZA-GP,
University of Pta Med Centre,28.200165,-25.7303,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,,Relevant Private Facility services – visit their website for more details,,,,,,,,,,,,,ZA-GP,
Zuid Afrikaans Hospital,28.20571,-25.762,Private Hospital,Gauteng,City of Tshwane Metropolitan Municipality,Tshwane 3 Health Sub-District,YES,Relevant Private Facility services – visit their website for more details,,139,,92,,,,9,,,,https://www.zah.co.za/,ZA-GP,
