hospital_id,name,ceo,postal_address,physical_address,contact_number,email,
11,Clairwood Hospital,Dr NBL Gwala,P/Bag X04 MobeniI 4060,"1 Higginson Highway, Mobeni",Tel: (031) 451 5000,njabulo.gwala@kznhealth.gov.za,
12,Don McKenzie Hospital,Mrs T Khanyile,P/Bag X1006 Botha's hill 3660,"10 Zulu Reserve road, Botha's hill",Tel: (031) 777 1155,tiny.khanyile@kznhealth.gov.za,
13,Doris Goodwin Hospital,Mr A Ndlovu,PO Box 32 Plessislaer 3216,"Edendale road, next to Edendale hospital",Tel: (033) 327 3500,andrew.ndlovu@kznhealth.gov.za,
14,Dundee hospital,Mrs TT Vilakazi,P/Bag X2011 Dundee 3000,"121 Mckenzie Street, Dundee 3000",Tel: (034) 212 1111,Teresa.Mkhize@kznhealth.gov.zaTheodorah.Vilakazi2@kznhealth.gov.za,
15,E.G & Usher Memorial hospital,Ms N Binase,P/Bag X506 Kokstad 4700,"Corner of The Avenue & Elliot Streets, Kokstad",Tel: (039) 797 8100,nomawethu.binase@kznhealth.gov.za,
16,Edendale Hospital,Mrs NT Nxaba,P/Bag X509 Plessislaer 3216,"Main Road, Edendale.",Tel: (033) 395 4911,nelisile.nxaba@kznhealth.gov.za,
17,Ekombe Hospital,Dr BP Zungu,P/Bag X203 Kranskop 3268,"From Melmoth proceed to Nkandla, before your reach Nkandla watch and take the turn off to Eqhudeni and Vuleka. From there drive about 30 km until you take the turn off to Eqhudeni, then youll drive 5 km to Ekombe Hospital.",Tel: (035) 834 8000,Bonginkosi.Zungu@kznhealth.gov.za,
18,Ekuhlengeni Psychiatric Hospital,Miss NS Padayachee,PO Box 3 Umbogintwini 4120,"Old South coast road, Umbogintwini",Tel: (031) 905 4775/6/7/8/9,Nalini.Padayachee@kznhealth.gov.za,
19,Emmaus Hospital,Mrs MAN Mzizi,P/Bag X16 Winterton 3340,"Cathedral Peak Road,Winterton.",Tel: (036) 488 1570,Ndileka.Mzizi@kznhealth.gov.za,
20,Eshowe Hospital,Mr. PN Sangweni,P/Bag 504 Eshowe 3815,"From N2 North take the Dokoweni off-ramp. Follow signs to Eshowe (30 km). Take the second entrance to Eshowe, Kangela St.Hospital is 1,8 km from this entrance on the left hand side",Tel: (035) 473 4500,Nhlanhla.Sangweni@kznhealth.gov.za,
21,Estcourt Hospital,Mr MP Bekenya,P/Bag X7058 Estcourt 3310,"Old Main Road, Estcourt.",Tel: (036) 342 7000,thembile.hlongwa@kznhealth.gov.zaMthandazo.Bekenya@kznhealth.gov.za,
22,Fort Napier Hospital,Mr S Mthethwa,P O Box 370 Pietermaritzburg 3200,"1 Devonshire Road, Napierville PMB",Tel: (033) 260 4300,truelove.ngcobo@kznhealth.gov.za,
23,G.J. Crookes Hospital,Mrs TC Wanda,P/Bag X5501 Scottsburgh 4180,"Hospital Road, Scottburgh",Tel: (039) 978 7000,,
24,General Justice Gizenga Mpanza Regional Hospital(formerly Stanger Hospital),Dr N Vabaza,P/Bag X10609 Stanger 4450,"Cnr of King Sharka & Patterson Street, Stanger",Tel: (032) 437 6000,noxolo.vabaza@kznhealth.gov.za,
25,Grey's Hospital,Dr K Bilenge,P/Bag 9001 Pietermaritzburg 3200,"Townbush Road, PMB",Tel: (033) 897 3000,ben.bilenge@kznhealth.gov.za,
26,Greytown Hospital,Ms KJ Mngadi,P/Bag X5562 Greytown 3250,Go to Greytown and take Bell street and ask for hospital that is next to township,Tel: (033) 413 9400,khanyi.mngadi@kznhealth.gov.za,
27,Hillcrest Hospital,Mrs MM Mkhize,P/Bag X1001 Hillcrest 3650,"50 Hospital Road, Hillcrest",Tel: (031) 761 5880,thulile.gordon@kzhealth.gov.za,
28,Hlabisa Hospital,Mr S Mkhwanazi (acting CEO),P/Bag X5001 Hlabisa 3937,60 Saunders Street Hlabisa 3937,Tel: (035) 838 8600,sihle.mkhwanazi@kznhealth.gov.za,
29,Inkosi Albert Luthuli Central Hospital,Dr T.T. Khanyile,P/Bag X03 Mayville 4058,"800 Bellair Road, Cato Manor, Durban.",Tel: (031) 240 1000,thandeka.khanyile@ialch.co.za,
30,Itshelejuba Hospital,Mrs TM Vilakazi,P/Bag X0047 Pongola 3170,"N2 North, about 30 km past Pongola and +- 70km from Piet Ritief",Tel: (034) 413 4000,thembi.vilakazi@kznhelth.gov.za,
31,King Dinuzulu Hospital Complex,Dr Z Dlamini (acting),P. O. Box Dormerton Dormerton 4015,Corner of Dr R D Naidoo drive and Viola Road Sydenham Durban,Tel: (031) 242 6000,ruben.naidu@kznhealth.gov.zaZanele.Dlamini2@kznhealth.gov.za,
32,King Edward VIII Hospital,Dr T Mayise,P/Bag Congella Congella 4013,"Corner of Sydney and Francois Road, Congella",Tel: (031) 360 3015/4,rejoice.khuzwayo@kznhealth.gov.za/ lungile.mpanza@kznhealth.gov.za,
33,KwaMagwaza Hospital,N/A,P/Bag X808 Melmoth 3835,"KwaMagwaza Road, Melmoth",Tel:(035) 450 8200,,
34,KZN Children's Hospital,Ms N Mkhize (acting),"P/Bag X02 Point, Durban, 4069","10 Prince Street, Addington, Durban",Switchboard: 031 812 1400,nomusa.mkhize2@kznhealth.gov.za,
35,Ladysmith Hospital,Mr BL Msibi,P/Bag 9928 Ladysmith 3370,"Malcolm Road, Ladysmith",Tel: (036) 637 2111,Bhekizizwe.Msibi@kznhealth.gov.za ,
36,Madadeni Hospital,Mrs. H.S.L Khanyi,P/Bag X6642 Newcastle 2940,"Section 6, Madadeni",Tel: (034) 328 8000,Happy.Khanyi@kznhealth.gov.za,
37,Mahatma Gandhi Hospital,Mr. L S Maphumulo (Acting),P/Bag X13 Mount Edgecombe 4068,"100 Phoenix Highway, Phoenix",Tel: (031) 502 1719 ext 2149,Siboniso.maphumulo@kznhealth.gov.za,
38,Manguzi Hospital,Dr SB Vumase,P/Bag X301 Kwa-Ngwanase 3973,"N2 North, Jozini turn-off, past Pongola Dam + 30km to T-junction, right + 67km",Tel: (035) 592 0150,sipho.vumase@kznhealth.gov.za,
39,Mbongolwane Hospital,Mrs SI Mkhwanazi,P/Bag X126 Kwapett 3820,"N2 to Ulundi/Melmoth turn-off, left at Eshowe/Nkandla turn-off + 30 km to Ntumeni, left to Pett Store, turn right, +15 km to school, turn right, + 3 km",Tel: (035) 476 6242,sabastian.zungu@kznhealth.gov.zaSiphesihle.Mkhwanazi@kznhealth.gov.za,
40,McCord Provincial Eye Hospital,Dr J Mannie(acting),PO Box 37587 Overport 4067,"28 McCord Road, Berea 4001",Tel: 031 268 5700,jay.mannie@kznhealth.gov.za,
41,Montebello Hospital,Mrs BR Msomi,P/Bag X506 Dalton 3236,"P614 Noordsberg Road, Dalton",Tel: (033) 506 7000,Babhekile.Msomi@kznhealth.gov.za,
42,Mosvold Hospital,Dr B Mung'omba,P/Bag X2211 Ingwavuma 3968,"N2 North, Jozini turn-off, past Pongola Dam + 30km to T-junction, left + 30km",Tel: (035) 591 0122,bernard.mungomba@kznhealth.gov.za,
43,Mseleni Hospital,Mrs TE Sibisi,P.O. Sibhaya Sibhaya 3967,"N2 North, Jozini turn-off, turn right to Ubombo before Dam, + 20 km to T-junction, left + 20 km to 2nd T-junction, left + 5 km to sign",Tel: (035) 574 1004/5/6/7,Tholithemba.Sibisi@kznhealth.gov.za,
44,Murchison Hospital,Mr RE Manykole,P/ Bag X701 Port Shepstone 4240,"N2 south to Port Shepstone THEN Mdube Bus Halt, Harding Road, Port Shepstone",Tel: (039) 687 7311,Edward.Manyokole@kznhealth.gov.za,
45,Newcastle Hospital,Mr K Dlamini,P/Bag X6653 Newcastle 2940,"4 Hospital Street, Newcastle",Tel: (034) 328 0000,khulekhani.dlamini@kznhealth.gov.za,
46,Ngwelezana Hospital,Dr BS Madlala,P/Bag X20021 Empangeni 3880,"Left at 1st robot into Ngwelezana road on Entering Empangeni, look for signboard on left and turn into Thanduyise road and continue for 500m.",Tel: (035) 901 7000,Bright.Madlala@kznhealth.gov.za,
47,Niemeyer Memorial Hospital,Dr SB Nkosi,P/Bag X1004 Utrecht 2980,"Kantoor Street, Utrecht",Tel: (034) 331 3011,nkosi.bongani@kznhealth.gov.za,
48,Nkandla Hospital,Dr. J. N. Ikwegbue,P/Bag X102 Nkandla 3855,"N2 north to Gingindlovu/Eshowe turn-off, past Eshowe and Melmoth to Babanango turn-off, turn left to Nkandla village.",Tel: (035) 833 5000,joseph.ikwegbue@kznhealth.gov.za,
49,Nkonjeni Hospital,Dr N Xhakaza (acting),P/Bag X509 Mahlabathini 3865,"Go to Ulundi , from King Dinizulu Highway go +\- 5 km's north to Nkonjeni hospital : Near Vumabakushoyo LP. School and Lutheran Church",Tel: (035) 873 0013,Nondumiso.Xhakaza@kznhealth.gov.za,
50,Northdale Hospital,Mrs BC Maphanga,P/Bag X9006 Pietermaritzburg 3200,"1389 Chota Motala Road, Northdale, PMB",Tel: (033) 387 9007/9009,buhle.maphanga@kznhealth.gov.za,
51,Osindisweni Hospital,Mr N Shabane,"P/Bag X15 Verulam, 4340","Oakford Road, Verulam",Tel: (032) 5419200,nathi.shabane@kznhealth.gov.za,
52,Port Shepstone Hospital,Ms BC Ndlovu,P/Bag X5706 Port Shepstone 4240,"N2 south to Port Shepstone THEN Cnr of Connor & Bazley Street, Port Shepstone",Tel: (039) 688 6000,Thembi.mkhize@kznhealth.gov.zaBawinile.ndlovu@kznhealth.gov.za,
53,Prince Mshiyeni Hospital,Mr G Khawula,P/Bag X07 Mobeni 4060,"On the Mangosutho Highway, Before Umlazi Lodge.",Tel: (031) 907 8111,pmmh.ceo@kznhealth.gov.zapmmh.ceo@kznhealth.gov.za,
54,Queen Nandi Hospital,Dr M Sanjowan (acting),P/Bag X20005 Empangeni 3880,"29 Union Street, Empangeni. This is Empangeni Hospital",Tel: (035) 907 7000,Menitha.Samjowan@kznhealth.gov.za,
55,R. K. Khan Hospital,Mrs CNN Mkhwanazi,P/Bag X004 Chatsworth 4030,"R.K. Khan Circle, Westcliffe",Tel: (031) 459 6000,nqobile.mkhwanazi@kznhealth.gov.za,
56,Richmond Hospital,Dr M Anwar (acting),PO Box 133 Richmond 3780,"Durban road, Richmond",Tel: (033) 212 2170,mir.anwar@kznhealth.gov.za,
57,Rietvlei Hospital,Mrs N Keswa,P/Bag X501 Stafford's Post Via Port Shepstone 4686,Rietvlei Location (Emhlangeni),Tel: (039) 260 5000,nonhlanhla.keswa@kznhealth.gov.za,
58,Siloah Lutheran Mission,,Private Bag X9392 Vryheid,"Dlomodlomo road, Vryheid",Tel: (034) 907 5226,,
59,St Mary's Hospital,Mrs P Mgobozi,"Private Bag X16,","1 Hospital Rd, Mariannhill, Pinetown, 3601",Tel: (031) 717 1000,Phe.Mgobozi@kznhealth.gov.za,
60,St. Aidan's Hospital,Dr T Mayise,"Private Bag X01 Overport, 4067","33 Centenary Road, Durban",Tel:(031) 314 2200,Thami.Mayise@kznhealth.gov.za,
61,St. Andrews Hospital,Mrs M Vane,P/Bag X1010 Harding 4680,"14 Moodie Street, Harding",Tel: (039) 433 1959 / 1472,mandisa.vane@kznhealth.gov.za,
62,St. Apollinaris Hospital,Mrs NPP Hadebe,P/Bag 206 Creighton 3263,"Centow Mission, Centocow",Tel: (039) 833 8000,promise.chiya@kznhealth.gov.za,
63,St. Francis Hospital,Ms P Msane (acting),P/Bag X564 Mahlabathini 3865,"Go to Ulundi , from King Dinizulu Highway go +\- 7 km's north east to St. Francis hospital :Near St Francis Mission",Tel: (035) 873 0203/4/5,phumzile.msane@kznhealth.gov.za,
64,St. Margaret's Hospital,Dr BP Sosibo,"P/Bag X517, Umzimhulu, 3297","Clydesdale mission, Umzimkhulu",Tel: (039) 259 9222,Bongiwe.Sosibo@kznhealth.gov.za,
65,Thulasizwe Hospital,Dr OE Ngam (acting),P/ Bag 209 Ceza 3866,"Go to Ulundi , from King Dinizulu Highway go +\- 20 km's north to Ceza hospital : THEN +\- 5km's north to Thulasizwe Hospital ,near Thandaziphi Store",Tel: (035) 832 6000,eric.ngam@kznhealth.gov.za,
66,Town Hill Hospital,Mr NR Hadebe,P. O. Box 400 Pietermaritzburg 3200,"Hysslop Road, PMB",Tel: (033) 341 5500,Reginald.Hadebe@kznhealth.gov.za,
67,Umgeni Hospital,Miss NE Ndlovu,P/Bag X23 Howick 3290,"Main Road, Howick",Tel: (033) 330 6146,mpume.ndlovu@kznhealth.gov.zamark.green@kznhealth.gov.za,
68,Umphumulo Hospital,Dr MJ Zulu,P/Bag X9219 Maphumulo 4470,"N2 North, Stanger turn-off, continue + 45 km to Maphumulu, look for hospital sign.",Tel: (032) 481 4100,leonard.vundla@kznhealth.gov.zamandla.zulu@kznhealth.gov.za,
69,Umzimkhulu Hospital,Mr ML Mbewu,P/Bag x 514 Umzimkhulu 3297,Mbizweni Farm Umzimkhulu,Tel: (039) 259 0310,Khaya.Mbewu@kznhealth.gov.za,
70,Untunjambili Hospital,Mrs CN Ndadane,P/ Bag X216 Kranskop 3268,"Along Kranskop way. From N2 take R74 off-ramp, go through Stanger on R74 pass Mapumulo, after 23km see Kranskop sign, turn right. Pass through small Kranskop town after 10km sign Untunjambili Hospital. Turn right after 2km see hospital on your right.",Tel: (033) 444 1808 / 1707,nontobeko.ndadane@kznhealth.gov.za,
71,Vryheid Hospital,Ms NF Ngema,P/Bag X9371 Vryheid 3100,"Coswald Brown Street, Vryheid",Tel: (034) 982 2111,,
72,Wentworth Hospital,Dr S Kader,P/Bag Jacobs Jacobs 4026,"Sidmouth Avenue, Wentworth",Tel: (031) 460 5000 / 2000,suriya.kader@kznhealth.gov.za@kznhealth.gov.za,
73,Khotsong TB Hospital,,,Jagger Street,,,
74,NHN Matatiele Prv Hospital,,,High Street,,,
75,T Bequest Hospital (Mat),,,"Matatiele, 4730",,,
76,Greenville Hospital,,,Emijolini,,,
77,St Patrick's Hospital,,,152 Hope Street,,,
78,Sipetu Hospital,,,Isilimdini A/A,,,
79,Madzikane Hospital,,,"N2 Road, Mount Frere, 9002",,,
80,Mt Ayliff Hospital,,,"8 Ntsizwa Street, Mt Ayliff",,,
81,Cathcart Hospital,,,10 Fletcher Street,,,
82,SS Gida Hospital,,,Cata Road,,,
83,Stutterheim Hospital,,,Hospital Street,,,
84,Komga Hospital,,,8 Victoria Road,,,
85,Madwaleni Hospital,,,Gosi Admin Area,,,
86,Butterworth Hospital,,,Scanlen Street,,,
87,Tafalofefe Hospital,,,"48 Bell Street, Kentani, 4980",,,
88,Nompumelelo Hospital,,,Grahamstown Road,,,
89,Adelaide Hospital,,,Piet Retief Drive,,,
90,Bedford Hospital,,,Maitland Street,,,
91,Fort Beaufort Hospital,,,Bell Street,,,
92,Tower Hospital,,,Somerset Street,,,
93,Victoria Hospital,,,Lovedale Road,,,
94,Winterberg TB Hospital,,,Alice Road,,,
95,Bhisho Hospital,,,Komga Road,,,
96,C Makiwane Hospital,,,4 Bullie Road,,,
97,Fort Grey TB Hospital,,,,,,
98,Frere Hospital,,,Amalinda Drive,,,
99,Grey Hospital,,,Lonsdale Street,,,
100,Life Beacon Bay Hospital,,,32 Quenera Drive,,,
101,Life E London Prv Hospital,,,32 Albany Street,,,
102,Life Grey Monument Clinic Hospital,,,,,,
103,Life St Dominic's Hospital,,,45 St Marks Road,,,
104,Life St James Hospital,,,36 St James Road,,,
105,Life St Mark's Hospital,,,16 St Andrews Road,,,
106,Newhaven Hospital,,,12 Cavendish Road,,,
107,NHN East London Eye Hospital,,,18 St James Road,,,
108,NHN Icare Gonubie Med Centre,,,,,,
109,Nkqubela Hospital,,,9 Billie Road,,,
110,Dordrecht Hospital,,,Grey Street,,,
111,Glen Grey Hospital,,,"Indwe Road, Lady Frere",,,
112,Indwe Hospital,,,"Graham Steet, Indwe, 5445",,,
113,All Saints Hospital,,,,,,
114,Mjanyana Hospital,,,Mjanyana Hospital,,,
115,Frontier Hospital,,,Kingway Road,,,
116,Hewu Hospital,,,"Main Road, Whittlesea, 5360",,,
117,Komani Hospital,,,"1833 National Road, Queenstown",,,
118,Life Queenstown Prv Hospital,,,"63 Ebden Road, Queenstown, 5320",,,
119,M Venter Hospital,,,"1 Magaret Street, Tarkastad",,,
120,Molteno Hospital,,,Stuart Street,,,
121,NHN Care Cure Queenstown Sub-Acute Hospital,,,5 Edward Road,,,
122,Sterkstroom Hospital,,,"18 Le Grange Street, Sterkstroom",,,
123,Cofimvaba Hospital,,,"417 Zingudu Road, Cofimvaba, 5380",,,
124,Cradock Hospital,,,30 Hospital Street,,,
125,W Stahl Hospital,,,"Du Plessis Street, Middelburg",,,
126,Cala Hospital,,,"Drully Lane, Cala",,,
127,Elliot Hospital,,,"Maclear Road, Elliot",,,
128,Maclear Hospital,,,Fourie Street,,,
129,T Bequest Hospital (Elu),,,"Hospital St, Mount Fletcher, 4770",,,
130,Cloete Joubert Hospital,,,1 Voortrekker Road,,,
131,Empilisweni Hospital,,,Umlamli Road,,,
132,L Grey Hospital,,,"22 David Ross Street, Lady Grey, 9755",,,
133,Umlamli Hospital,,,Hoita,,,
134,Aliwal North Hospital,,,Park Avenue,,,
135,Burgersdorp Hospital,,,Daantjie Van Den Heever Street,,,
136,Jamestown Hospital,,,"Hill Street, Jamestown, 9742",,,
137,Steynsburg Hospital,,,1 Henning Street,,,
138,St Francis Hospital,,,Bantu Street,,,
139,Dora Nginza Hospital,,,Spondo Road,,,
140,J Pearson TB Hospital,,,"Mission Road, Bathelsdorp",,,
141,Netcare Cuyler Hospital,,,34 Cuyler Street,,,
142,Orsmond TB Hospital,,,1 John Dissel Drive,,,
143,Uitenhage Hospital,,,Channer Street,,,
144,Elizabeth Donkin Hospital,,,Forest Hill Drive,,,
145,Empilweni TB Hospital,,,Mati Road,,,
146,Life Hunterscraig Hospital,,,,,,
147,Life Mercantile Hospital,,,Cnr Kempston and Durban Roads,,,
148,Life St George's Hospital,,,40 Park Drive,,,
149,Livingstone Hospital,,,Stanford Road Korsten,,,
150,Netcare Greenacres Hospital,,,Cnr Cape and Rochelle Road,,,
151,NHN Aurora Rehab Hospital,,,,,,
152,NHN Icare Walmer Med Centre,,,,,,
153,Oasim Hospital,,,,,,
154,PE Prov Hospital,,,Buckingham Road,,,
155,Westways Hospital,,,,,,
156,Holy Cross Hospital,,,,,,
157,St Elizabeth's Hospital,,,R61,,,
158,Bedford Orth Hospital,,,,,,
159,Life St Mary's Hospital,,,30 Durham Road,,,
160,Mthatha Chest Hospital,,,,,,
161,Mthatha Gen Hospital,,,Nelson Mandela Drive,,,
162,Mandela Acad Hospital,,,"Sisscon Street, Fortgale, Mthatha",,,
163,NHN Crossmed Mthatha Prv Hospital,,,59 Nelson Mandela Drive,,,
164,NHN Mthatha Sub-Acute Hospital,,,"Cnr Durham and Victoria Street, Mthatha",,,
165,Zitulele Hospital,,,Zithulele,,,
166,Dr Malizo Mpehle Hospital,,,"R56, Main Road, Tsolo, 5170",,,
167,N Knight Hospital,,,Sulenkama A/A,,,
168,St Lucy's Hospital,,,"St Cuthberts Mission, Tsolo, 5170",,,
169,Canzibe Hospital,,,,,,
170,St Barnabas Hospital,,,Port St Johns Road,,,
171,Bambisana Hospital,,,,,,
172,Isilimela Hospital,,,,,,
173,Andries Vosloo Hospital,,,"Charles Street, Somerset East",,,
174,Aberdeen Hospital,,,35 Hope Street,,,
175,M Parkes TB Hospital,,,Bree Street,,,
176,Midland Hospital,,,Albertyn Street,,,
177,Sawas Hospital,,,College Street,,,
178,Willowmore Hospital,,,"25 Knysna Road, Willowmore",,,
179,Humansdorp Hospital,,,"Du Plessis Street, Humansdorp, 6300",,,
180,Life Isivivana Hospital,,,Du Plessis Street,,,
181,PZ Meyer Hospital,,,"Johnson Street, Graslagte",,,
182,BJ Vorster Hospital,,,Cnr Krom and Baaken Street,,,
183,Fort England Hospital,,,Tork Street,,,
184,Settlers Hospital,,,Milner Street,,,
185,Temba TB Hospital,,,36 A Street,,,
186,M Parrish TB Hospital,,,"Old 43 Air School, Bathurst Road",,,
187,Netcare Port Alfred Hospital,,,,,,
188,P Alfred Hospital,,,Southwell Road,,,
189,Sundays Valley Hospital,,,"Whyte Street, Kirkwood",,,
190,Mafube Hospital,,,"40 Church Street, Frankfort",,,
191,NHN Riemland Clinic Hospital,,,Frankfort Street,,,
192,Fezi Ngumbentombi Hospital,,,8 Langenhoven Street,,,
193,Netcare Vaalpark Hospital,,,40 Karas Street,,,
194,Sasol Infrachem Hospital,,,"Bergius Street, Sasolburg",,,
195,Boitumelo Hospital,,,Smoldael Road,,,
196,Netcare Kroon Hospital,,,Noordweg,,,
197,Parys Hospital,,,"8 Hospital Road, Parys",,,
198,Tokollo Hospital,,,Myron Street,,,
199,Winburg Hospital,,,"Noordlaan Street, Winburg",,,
200,Bongani Hospital,,,Welkom Thabong,,,
201,Katleho Hospital,,,"17 Commando Street, Virginia",,,
202,Kopano MDR Hospital,,,312 Long Road,,,
203,Mediclinic Welkom Hospital,,,Meulen Street,,,
204,NHN E Oppenheimer Hospital,,,1 Power Road,,,
205,NHN St Helena Hospital,,,Hamlet Road Extension,,,
206,NHN Welkom Med Centre,,,5 Lategan Road,,,
207,NHN Welkom Sub-Acute Hospital,,,5 Lategan Road,,,
208,RH Matjhabeng Prv Hospital,,,,,,
209,Thusanong Hospital,,,Hospital Street,,,
210,Nala Hospital,,,"35 Van Riebeeck Street, Bothaville",,,
211,Mohau Hospital,,,Prince George Road,,,
212,Bloemcare Psych Hospital,,,11 AG Visser Street,,,
213,Bloemfontein Eye Centre,,,,,,
214,Busamed BFIA Hospital,,,,,,
215,Cairnhall Hospital,,,Cnr Longerman and Torquoise Streets,,,
216,Free State Psyc Comp Hospital,,,"35 Nico Van Der Merwe Ave, Oranjesig, 9301",,,
217,Life Pasteur Hospital,,,54 Pasteur Drive,,,
218,Life Rosepark Hospital,,,57 Gustav Crescent,,,
219,Link Prv Hospital,,,,,,
220,Mediclinic Bfn Hospital,,,Kellner Street,,,
221,National Dis Hospital,,,Willows,,,
222,Netcare Pelonomi Prv Hospital,,,121 Dr Belcher Road,,,
223,Netcare Universitas Prv Hospital,,,1 Logeman Street,,,
224,NHN CareCure Victoria Hospital,,,46 Victoria Road,,,
225,NHN EmoyaMed Prv Hospital,Henk Stolk,,"7 Frans Kleynhans Rd, Groenvlei, Emoya Estate, Bloemfontein",,,
226,NHN Hillandale HCC Hospital,,,6 Woodland Hills Boulevard,,,
227,NHN M-Care Optima Hospital,,,17 Addison Street,,,
228,NHN M-Care Pentagon Park Hospital,,,29 General Beyers Street,,,
229,NHN Stirling Hospital,Angela Waring,,"Remainder Plot 3B, Stirling Small Holdings, Stirling Road, Spitskop, Bloemfontein",,,
230,Pelonomi Hospital,,,Dr Belcher Road,,,
231,SAMHS 3 Mil Hospital,,,"Furstenburg Road, Tempe, Bloemfontein",,,
232,Universitas (C) Hospital,,,Logeman Street,,,
233,Botshabelo Hospital,,,,,,
234,Dr JS Moroka Hospital,,,"Station Road, Thaba N`chu",,,
235,Bethlehem Med Centre,,,,,,
236,Dihlabeng Hospital,,,3 Eeufees Road,,,
237,Mediclinic Hoogland Hospital,,,De Leeuw Street,,,
238,NHN Corona Hospital,,,25 de Leeuw Street,,,
239,Phekolong Hospital,,,Riemland Road,,,
240,Busamed Harrismith Prv Hospital,,,,,,
241,Elizabeth Ross Hospital,,,"Motebang Road, Makong Village",,,
242,MM Mopeli Hospital,,,"Motebang Street, Phithe, Dijhabeng",,,
243,Thebe Hospital,,,Mauritz Street,,,
244,Senorita Ntlabathi Hospital,,,"Becton Street, Ladybrand",,,
245,Nketoana Hospital,,,2 Artie Street,,,
246,Phumelela Hospital,,,"Kuhn Street, Vredse",,,
247,Itemoheng Hospital,,,1 Jurie Nel,,,
248,JD Newberry Hospital,,,"83 2nd Street, South",,,
249,Phuthuloha Hospital,,,"Kestell Street, Ficksburg",,,
250,Albert Nzula Dist Hospital,Mokopanele Ngophe,,"22 Louw Street, Trompsburg, 9913",,,
251,Diamond (Diamant) Hospital,,,"Weil Street, Jagersfontein",,,
252,Embekweni Hospital,,,"Reichemberg, Zastron",,,
253,S Coetzee Hospital,,,,,,
254,Basambilu Med Centre,,,,,,
255,Diepsloot Med Centre,,,,,,
256,HEALth-WorX Carlswald Med Centre,,,"Shop 40, Carlswald Lifestyle Centre, Cnr New Road and Harry Galaun Drive, Carlswald, Midrand, 1684",,,
257,Life Fourways Hospital,,,Cnr Cedar Road and Cedar Avenue West,,,
258,Mediwell Dainfern Square Med Centre,,,"2040 Broadacres Drive, Fourways, Sandton, 2055",,,
259,Netcare Sunninghill Hospital,,,"Cnr Witkoppen and nanyuki Road, Sunninghill Park, Sandton",,,
260,Netcare Waterfall City Hospital,,,Cnr Magwa Crescent and Mac Mac Street,,,
261,NHN Icare Fourways Med Centre,,,,,,
262,Phedisong Health Care,,,"307 B Moriting Section, 42 21st March and Evaton Street, Tembisa, 1632",,,
263,Sunninghill Med Centre,,,"Cnr Maxwell Drive and Edison Crescent, Sunninghill, Westonaria, 1779",,,
264,Tanganani Health Care,,,"160 Baridi Street, Diepsloot",,,
265,HEALth-WorX Cresta Med Centre,,,"Shop B200, Cresta Shopping Centre, Weltevreden Road, Cresta, Randburg, 2194",,,
